ratio,theta_post,DeltaV_post,Value_High_post,Value_Low_post
1.0,0.0,-0.01638610374136179,0.4836138962586382,0.4999999999999999
1.0,0.05,-0.452907361887026,0.04494787733218678,0.4978552392192127
1.0,0.1,-0.4247589404869859,0.06636071380011752,0.49111965428710375
1.0,0.15000000000000002,-0.3325571988770066,0.13825201927296668,0.4708092181499731
1.0,0.2,-0.3219060494134795,0.14393780322867014,0.4658438526421495
1.0,0.25,-0.20288594690438252,0.22128565364928393,0.4241716005536665
1.0,0.30000000000000004,-0.2559485839005617,0.1885644043623914,0.444512988262953
1.0,0.35000000000000003,-0.1793244272439623,0.230850401420399,0.41017482866436145
1.0,0.4,-0.10808125961887874,0.27293913558103083,0.38102039519990955
1.0,0.45,-0.021459364528055136,0.32254758485413243,0.34400694938218757
1.0,0.5,0.07000918904135797,0.3698177853896017,0.2998085963482439
1.0,0.55,0.11071212282043723,0.38306770846340144,0.2723555856429644
1.0,0.6000000000000001,0.21104448126269265,0.4253563443721104,0.21431186310941777
1.0,0.65,0.2539167181871985,0.44613504703884904,0.19221832885165033
1.0,0.7000000000000001,0.31164045818134206,0.46526595736866233,0.1536254991873203
1.0,0.75,0.3725230487091278,0.48334343623911924,0.11082038752999138
1.0,0.8,0.3606330909878369,0.48125390860469486,0.12062081761685776
1.0,0.8500000000000001,0.41700340161971006,0.4903059289332898,0.07330252731357974
1.0,0.9,0.4567233102830298,0.4982804097425889,0.041557099459559085
1.0,0.9500000000000001,0.4604116497141105,0.4982536541724462,0.03784200445833575
1.0,1.0,0.40534945351704443,0.4999999999999999,0.0946505464829555
1.15,0.0,0.06575050989778955,0.5657505098977894,0.4999999999999999
1.15,0.05,-0.06810573349619761,0.40391081807168494,0.47201655156788275
1.15,0.1,-0.16491912823680663,0.28960508411823327,0.45452421235503965
1.15,0.15000000000000002,-0.20050869868416882,0.25220822068220905,0.452716919366378
1.15,0.2,-0.23023428174517094,0.21928473062631712,0.4495190123714881
1.15,0.25,-0.09339710894719366,0.3090879303463334,0.4024850392935272
1.15,0.30000000000000004,-0.10848056156161046,0.29491591358064284,0.4033964751422533
1.15,0.35000000000000003,-0.057186508398334925,0.3266893503823424,0.38387585878067737
1.15,0.4,0.09041878080254806,0.4052347539641101,0.31481597316156223
1.15,0.45,0.12443003928837308,0.42721523103331116,0.3027851917449381
