ratio,theta_post,DeltaV_post,Value_High_post,Value_Low_post
2.11,0.9,0.8334097186186977,1.0255412499573568,0.19213153133865973
2.11,1.0,0.84858436681561,1.0315360573381964,0.18295169052258548
2.26,0.1,0.6504035960452778,1.068229351773273,0.4178257557279985
2.26,0.2,0.6878867375367799,1.06025170131674,0.37236496377995815
2.26,0.3,0.7636585311606251,1.0793875444216394,0.3157290132610157
2.26,0.4,0.8145349409111075,1.0916121968711932,0.2770772559600838
2.26,0.5,0.8452983244285535,1.099905567579668,0.2546072431511162
2.26,0.6,0.8768730936016182,1.1028870872130014,0.22601399361137905
2.26,0.7,0.8976089353473405,1.1107359444658689,0.21312700911852414
2.26,0.8,0.9006950019856107,1.1061491788935778,0.20545417690796808
2.26,0.9,0.9103253123655007,1.1024568437041606,0.19213153133865973
2.26,1.0,0.9259495711159748,1.1089012616385612,0.18295169052258548
2.42,0.1,0.7249312252387612,1.142756980966762,0.4178257557279985
2.42,0.2,0.7618577864658538,1.1342227502458118,0.37236496377995815
2.42,0.3,0.835484386279394,1.1519045995404118,0.31642021326101505
2.42,0.4,0.8906939314492256,1.167771187409314,0.2770772559600838
2.42,0.5,0.9220359221666699,1.1766431653177845,0.2546072431511162
2.42,0.6,0.953818704337409,1.1798326979487928,0.22601399361137905
2.42,0.7,0.9761702354511069,1.1890053820292357,0.2128351465781282
2.42,0.8,0.9795634594720621,1.1843264363799486,0.20476297690788658
2.42,0.9,0.9872410895993192,1.1793725694072663,0.1921314798079491
2.42,1.0,1.0033147767921344,1.1862664671481165,0.18295169035598524
2.58,0.1,0.7994588544322453,1.217284610160246,0.4178257557279985
2.58,0.2,0.8441868722090784,1.216446430753834,0.3722595585447579
2.58,0.3,0.926988924531614,1.2424608322115602,0.3154719076799451
2.58,0.4,0.9668529219324428,1.2439301778925256,0.2770772559600838
2.58,0.5,0.9987735153781625,1.25338075852996,0.25460724315179567
2.58,0.6,1.030764315073715,1.2567783086850968,0.22601399361137905
2.58,0.7,1.05371404999255,1.2665491966279783,0.21283514663543068
2.58,0.8,1.056802140106026,1.2615651170139126,0.20476297690788564
2.58,0.9,1.0641566919519656,1.2562881717599188,0.1921314798079491
2.58,1.0,1.0807869063599713,1.2636896187909068,0.18290271243093914
2.74,0.1,0.8876440180114764,1.3054137066918343,0.4177696886803544
2.74,0.2,0.9187552627690809,1.2910147949894943,0.37225953222041785
2.74,0.3,1.00305840741197,1.3185303157164876,0.31547190830452015
2.74,0.4,1.0575357136232097,1.3331356215438925,0.27559990792068567
2.74,0.5,1.0755111128447499,1.3301183559965457,0.25460724315179567
2.74,0.6,1.1077099258095404,1.333723919420918,0.22601399361137905
2.74,0.7,1.131257879363676,1.3440930259973525,0.21283514663367487
2.74,0.8,1.1340460084034345,1.3388088419899131,0.20476283358647504
2.74,0.9,1.1410722943044922,1.3332037741124372,0.19213147980795
2.74,1.0,1.158155658530844,1.3410583709617787,0.18290271243093914
2.89,0.1,0.980090248115005,1.395112203300897,0.41502195518589025
2.89,0.2,0.9933657670755416,1.3656312841143583,0.37226551703881916
2.89,0.3,1.0791288504675876,1.3946007588716742,0.31547190840408496
2.89,0.4,1.1344473840968976,1.4100472920175817,0.27559990792068567
2.89,0.5,1.152248710306306,1.406855953458101,0.25460724315179567
2.89,0.6,1.1846555366050777,1.4106695302164542,0.2260139936113771
2.89,0.7,1.2088017077866027,1.4216368544202749,0.21283514663367487
2.89,0.8,1.2113380627360184,1.4161003237111376,0.20476226097512285
2.89,0.9,1.2179878966571343,1.410119376465079,0.19213147980795
2.89,1.0,1.2355244107017145,1.418427123132656,0.18290271243093914
3.05,0.1,1.0561872773859624,1.4712092325718524,0.41502195518589025
3.05,0.2,1.0678547462090509,1.440120263247874,0.37226551703881916
3.05,0.3,1.1551979827696792,1.4706698911737677,0.31547190840408496
3.05,0.4,1.21135905457058,1.4869589624912676,0.27559990792068567
3.05,0.5,1.2289863077676555,1.4835935509194491,0.25460724315179567
3.05,0.6,1.2616011473444815,1.4876151409558562,0.2260139936113771
3.05,0.7,1.286345536209524,1.499180682843199,0.21283514663367487
3.05,0.8,1.2885798985748087,1.4933421595499297,0.20476226097512285
3.05,0.9,1.2949034990097743,1.4870349788177206,0.19213147980795
3.05,1.0,1.3128931628725848,1.4957958753035256,0.18290271243093914
3.21,0.1,1.1322843066569244,1.5473062618428088,0.41502195518589025
3.21,0.2,1.1423437253425601,1.51460924238138,0.37226551703881916
3.21,0.3,1.231267115071773,1.5467390234758542,0.31547190840408496
3.21,0.4,1.2882707250442698,1.5638706329649517,0.27559990792068567
3.21,0.5,1.3057239052290024,1.5603311483808002,0.25460724315179567
3.21,0.6,1.33854675808358,1.5645607516949556,0.2260139936113771
3.21,0.7,1.3638893646324528,1.5767245112661223,0.21283514663367487
3.21,0.8,1.3658217344135979,1.5705839953887173,0.20476226097512285
3.21,0.9,1.3718191013624152,1.563950581170361,0.19213147980795
3.21,1.0,1.3902619150434563,1.573164627474398,0.18290271243093914
3.37,0.1,1.2083813359278819,1.6234032911137695,0.41502195518589025
3.37,0.2,1.216832704476075,1.589098221514889,0.37226551703881916
3.37,0.3,1.3073362473738652,1.62280815577795,0.31547190840408496
3.37,0.4,1.3651823955179523,1.6407823034386408,0.27559990792068567
3.37,0.5,1.3824615026903573,1.6370687458421542,0.25460724315179567
3.37,0.6,1.415492368822672,1.6415063624340553,0.2260139936113771
3.37,0.7,1.4414331930553725,1.6542683396890512,0.21283514663367487
3.37,0.8,1.443063570252387,1.6478258312275107,0.20476226097512285
3.37,0.9,1.4487347037150502,1.6408661835230027,0.19213147980795
3.37,1.0,1.4676306672143338,1.6505333796452712,0.18290271243093914
3.53,0.1,1.2844783651988367,1.6995003203847252,0.41502195518589025
3.53,0.2,1.2913216836095815,1.6635872006484052,0.37226551703881916
3.53,0.3,1.3834053796759533,1.698877288080041,0.31547190840408496
3.53,0.4,1.4420940659916417,1.71769397391233,0.27559990792068567
3.53,0.5,1.4591991001517053,1.7138063433035027,0.25460724315179567
3.53,0.6,1.4924379795617713,1.7184519731731498,0.2260139936113771
3.53,0.7,1.5189769880258561,1.7318121346939128,0.21283514666805584
3.53,0.8,1.5203054060911794,1.7250676670662983,0.20476226097512285
3.53,0.9,1.525650306067692,1.7177817858756443,0.19213147980795
3.53,1.0,1.5449994193852032,1.7279021318161392,0.18290271243093914
3.68,0.1,1.360575394469795,1.7755973496556878,0.41502195518589025
3.68,0.2,1.3658106627430902,1.7380761797819093,0.37226551703881916
3.68,0.3,1.459474511978045,1.7749464203821317,0.31547190840408496
3.68,0.4,1.5190057364653269,1.7946056443860146,0.27559990792068567
3.68,0.5,1.5359366976130575,1.7905439407648507,0.25460724315179567
3.68,0.6,1.569383590300871,1.7953975839122434,0.2260139936113771
3.68,0.7,1.5965208149524508,1.809355961620505,0.21283514666805584
3.68,0.8,1.5975472419299621,1.802309502905085,0.20476226097512285
3.68,0.9,1.6025659084203334,1.7946973882282862,0.19213147980795
3.68,1.0,1.6223681715560756,1.805270883987018,0.18290271243093914
3.84,0.1,1.4366724237407569,1.8516943789266447,0.41502195518589025
3.84,0.2,1.4402996418766063,1.8125651589154208,0.37226551703881916
3.84,0.3,1.5355436442801365,1.8510155526842238,0.31547190840408496
3.84,0.4,1.595917406939011,1.8715173148596966,0.27559990792068567
3.84,0.5,1.6126742950744108,1.8672815382262025,0.25460724315179567
3.84,0.6,1.6463292010399653,1.872343194651338,0.2260139936113771
3.84,0.7,1.674064641879046,1.886899788547104,0.21283514666805584
3.84,0.8,1.6747890777687555,1.8795513387438796,0.20476226097512285
3.84,0.9,1.6794815107729755,1.871612990580928,0.19213147980795
3.84,1.0,1.6997369237269493,1.8826396361578837,0.18290271243093914
4.0,0.1,1.5127694530117137,1.9277914081976044,0.41502195518589025
4.0,0.2,1.5147886210101151,1.8870541380489365,0.37226551703881916
4.0,0.3,1.611612776582232,1.9270846849863126,0.31547190840408496
4.0,0.4,1.6728290774127001,1.9484289853333814,0.27559990792068567
4.0,0.5,1.6894118925357589,1.9440191356875596,0.25460724315179567
4.0,0.6,1.7232748117790593,1.949288805390438,0.2260139936113771
4.0,0.7,1.7516084688056404,1.9644436154736962,0.21283514666805584
4.0,0.8,1.752030913607542,1.9567931745826648,0.20476226097512285
4.0,0.9,1.756397113125616,1.9485285929335696,0.19213147980795
4.0,1.0,1.7771056758978168,1.9600083883287593,0.18290271243093914
