theta,gamma,delta_v
0.0,0.0,-0.49899999999999994
0.0,0.05,-0.49899999999999994
0.0,0.1,-0.49899999999999994
0.0,0.15000000000000002,-0.49899999999999994
0.0,0.2,-0.49899999999999994
0.0,0.25,-0.49899999999999994
0.0,0.30000000000000004,-0.49899999999999994
0.0,0.35000000000000003,-0.49899999999999994
0.0,0.4,-0.49899999999999994
0.0,0.45,-0.49899999999999994
0.0,0.5,-0.49899999999999994
0.0,0.55,-0.49899999999999994
0.0,0.6000000000000001,-0.49899999999999994
0.0,0.65,-0.49899999999999994
0.0,0.7000000000000001,-0.49899999999999994
0.0,0.75,-0.49899999999999994
0.0,0.8,-0.49899999999999994
0.0,0.8500000000000001,-0.49899999999999994
0.0,0.9,-0.49899999999999994
0.0,0.9500000000000001,-0.49899999999999994
0.0,1.0,-0.49899999999999994
0.05,0.0,-0.3688548106943693
0.05,0.05,-0.3774503668804263
0.05,0.1,-0.3849211941677304
0.05,0.15000000000000002,-0.39142872460358696
0.05,0.2,-0.39736670674605834
0.05,0.25,-0.4023565948973834
0.05,0.30000000000000004,-0.40760634443999244
0.05,0.35000000000000003,-0.4114991224055779
0.05,0.4,-0.41493043278172054
0.05,0.45,-0.4185160710804742
0.05,0.5,-0.42308210172523514
0.05,0.55,-0.4255376929262285
0.05,0.6000000000000001,-0.4277244039648297
0.05,0.65,-0.4317570660081359
0.05,0.7000000000000001,-0.4335487203146623
0.05,0.75,-0.4351566034149782
0.05,0.8,-0.4366030231967386
0.05,0.8500000000000001,-0.43790726880483827
0.05,0.9,-0.4439308222506174
0.05,0.9500000000000001,-0.4450681325141728
0.05,1.0,-0.4461024924459359
0.1,0.0,-0.052689673956584436
0.1,0.05,-0.07560004471488316
0.1,0.1,-0.09361556381725507
0.1,0.15000000000000002,-0.11282240074760848
0.1,0.2,-0.13161133271630635
0.1,0.25,-0.151792821269553
0.1,0.30000000000000004,-0.1703303421392271
0.1,0.35000000000000003,-0.18497663126527777
0.1,0.4,-0.19154758211132955
0.1,0.45,-0.21038499009500683
0.1,0.5,-0.23408098998336674
0.1,0.55,-0.23947088927592297
0.1,0.6000000000000001,-0.2437024112960869
0.1,0.65,-0.2675389995455539
0.1,0.7000000000000001,-0.27317948938091513
0.1,0.75,-0.27623112561941376
0.1,0.8,-0.2784444173250789
0.1,0.8500000000000001,-0.2803676228511907
0.1,0.9,-0.2991924001368863
0.1,0.9500000000000001,-0.3016311287532303
0.1,1.0,-0.30414659217543283
0.15000000000000002,0.0,0.27534659460818145
0.15000000000000002,0.05,0.2614704177487221
0.15000000000000002,0.1,0.24840128154057955
0.15000000000000002,0.15000000000000002,0.22541136111915017
0.15000000000000002,0.2,0.19766533117719376
0.15000000000000002,0.25,0.17345556361007788
0.15000000000000002,0.30000000000000004,0.1440329200941594
0.15000000000000002,0.35000000000000003,0.11992961423314845
0.15000000000000002,0.4,0.11295167745712827
0.15000000000000002,0.45,0.08274734677877996
0.15000000000000002,0.5,0.049776863238747325
