theta,epsilon,delta_v,Value_High,Value_Low,LH_Ratio
0.1,0.0,0.333624761169553,0.7499999999999996,0.41637523883044664,5.07520040975914
0.1,0.1,-0.10298870376630126,0.36093045370947086,0.46391915747577217,14.99839158335196
0.1,0.2,-0.12926701217690442,0.3366261157925877,0.46589312796949217,14.694337410857566
0.1,0.3,-0.10597576697982085,0.3570076428380701,0.46298340981789093,13.444915890456667
0.1,0.4,-0.08224485777526802,0.3778296336658252,0.46007449144109325,12.197173856744055
0.1,0.5,-0.0615950173577953,0.3965508768325001,0.45814589419029544,11.456776811651729
0.1,0.6,-0.04990805306553568,0.4070834885304376,0.45699154159597327,10.957806275380966
0.1,0.7,-0.043794068631318746,0.41284147109433644,0.45663553972565524,10.693088568079668
0.1,0.8,-0.03466059781285891,0.4201537072392758,0.4548143050521347,10.51026307924102
0.1,0.9,-0.03130725727757079,0.42349091698434976,0.45479817426192054,10.396546326008012
0.1,1.0,-0.02473602805679937,0.42874361732214494,0.45347964537894436,10.303238101767516
0.2,0.0,0.3937061159344577,0.7499999999999999,0.35629388406554213,2.351937863695329
0.2,0.1,-0.03214803445288525,0.398763981333659,0.4309120157865442,6.097683799791902
0.2,0.2,-0.04032712661761398,0.3914625853051502,0.4317897119227642,5.869460665053243
0.2,0.3,-0.031036233668652838,0.39929959884840227,0.43033583251705515,5.640179484535115
0.2,0.4,-0.024066002113731305,0.40510806186445825,0.4291740639781896,5.439740088225303
0.2,0.5,-0.01659304613016813,0.4109000235818347,0.42749306971200274,5.3238453037759506
0.2,0.6,-0.014221811191451328,0.41316175634126817,0.4273835675327195,5.275334342813402
0.2,0.7,-0.01232114915613143,0.41407105290669477,0.42639220206282624,5.239119214502218
0.2,0.8,-0.009246411350028887,0.4173094600309821,0.426555871381011,5.21031606630048
0.2,0.9,-0.008263879904767589,0.4180411126274871,0.42630499253225473,5.202415968951132
0.2,1.0,-0.003942666204106175,0.42119359757178776,0.425136263775894,5.194552304951401
0.25,0.0,0.4183467110113655,0.7499999999999999,0.33165328898863433,1.8302716808390513
0.25,0.1,0.016594978254880294,0.4292030126896888,0.4126080344348085,4.464531801325985
0.25,0.2,-0.0028389120677125386,0.4135100909573577,0.4163490030250702,4.3522636368116085
0.25,0.3,-0.0018319696038113708,0.4147530375693148,0.4165850071731262,4.277917006298552
0.25,0.4,-0.004298511906470188,0.41264204433099183,0.416940556237462,4.253259196144075
0.25,0.5,0.0002449242272289559,0.41610241228882244,0.41585748806159345,4.210432108793534
0.25,0.6,0.004009081242845801,0.41925461816869203,0.41524553692584626,4.201754584459925
0.25,0.7,0.00288643847248639,0.4179520042106388,0.4150655657381524,4.211016544171117
0.25,0.8,-0.00022391203615622745,0.415691409414378,0.4159153214505342,4.2110045287138425
0.25,0.9,-0.000631600591439867,0.4156768586393765,0.4163084592308164,4.22248852815358
0.25,1.0,0.0015212596344921503,0.4171000693984804,0.4155788097639882,4.230684249004409
0.3,0.0,0.43920089291699377,0.7499999999999999,0.3107991070830061,1.4859605472520838
0.3,0.1,0.07859957693570975,0.4699493568669498,0.39134977993124004,3.2303057588640196
0.3,0.2,0.03808083405846708,0.43903321036423376,0.4009523763057667,3.3750284289321155
0.3,0.3,0.02874696380309587,0.43219479832507285,0.40344783452197697,3.4239006857824945
0.3,0.4,0.01928059968683658,0.4248297025852317,0.40554910289839513,3.45855492932921
0.3,0.5,0.019970376252857577,0.4248467276013193,0.4048763513484617,3.4947234135958234
0.3,0.6,0.013123989852570244,0.4197936361952435,0.40666964634267333,3.5141224619684754
0.3,0.7,0.012645815811114876,0.41968806634588485,0.40704225053476994,3.5347509374151658
0.3,0.8,0.008970675916763222,0.4166900614011685,0.4077193854844053,3.5542402979859555
0.3,0.9,0.011020224588883642,0.41803131144992056,0.4070110868610369,3.5707353859470756
0.3,1.0,0.010663799018958815,0.4178082429770717,0.40714444395811283,3.5805052675049454
0.35,0.0,0.4582367496858631,0.7499999999999999,0.2917632503141368,1.2437289564621987
0.35,0.1,0.12399025766435137,0.4978139820066111,0.3738237243422597,2.541499021406293
0.35,0.2,0.08155184268656042,0.4651991158155267,0.38364727312896624,2.7359062102537446
0.35,0.3,0.058251861474573265,0.4479540406004312,0.389702179125858,2.8448835389493485
0.35,0.4,0.042380904044591335,0.4361192770441427,0.39373837299955133,2.920325666646267
