theta,epsilon,delta_v,Value_High,Value_Low,LH_Ratio
0.25,0.1,0.29591156595989754,0.681365064997525,0.3854534990376275,3.348330605077978
0.25,0.2,0.20061968482947762,0.605995894915299,0.4053762100858213,3.7948287424376432
0.25,0.3,0.14547177054155236,0.5659067576911075,0.4204349871495553,3.959103646424476
0.25,0.4,0.15278214632983117,0.5703494062676354,0.4175672599378042,4.161393789853104
0.25,0.5,0.15402375363088588,0.5675734391390594,0.4135496855081736,4.227297182843931
0.25,0.6,0.1519417502358609,0.5652878661750782,0.4133461159392173,4.285035619441315
0.25,0.7,0.10759535335182802,0.5282828269885328,0.4206874736367047,4.341561736335717
0.25,0.8,0.1023813029962282,0.5272244784289191,0.42484317543269084,4.377406607869927
0.25,0.9,0.08652515550838982,0.5165881967961462,0.4300630412877563,4.39598826113193
0.25,1.0,0.11961305178233632,0.536848440245731,0.4172353884633947,4.4267226935941775
0.5,0.1,0.4498352989642525,0.7705537866085861,0.32071848764433364,1.3559138606012069
0.5,0.2,0.3458367795086857,0.6908095210358858,0.3449727415272001,1.637247113550511
0.5,0.3,0.30330307739574774,0.6578543824852507,0.3545513050895031,1.850371109095685
0.5,0.4,0.24122522766792714,0.6103766620634341,0.369151434395507,1.9843755571474866
0.5,0.5,0.21619460700333937,0.5937562750074052,0.3775616680040659,2.058930984484493
0.5,0.6,0.21426316686018126,0.6017550631581768,0.3874918962979955,2.1291781792318827
0.5,0.7,0.18522708861844234,0.5630907848122422,0.3778636961937998,2.2008974768084046
0.5,0.8,0.19258092957360867,0.5785388694190348,0.38595793984542603,2.2376180913821484
0.5,0.9,0.18270829860950705,0.5629346606230989,0.38022636201359183,2.262158673581735
0.5,1.0,0.1590895252402805,0.5533993854442623,0.39430986020398173,2.296280489887633
1.0,0.1,0.6353296032750432,0.861374725018095,0.2260451217430519,0.5735906743315853
1.0,0.2,0.4861552780101109,0.7693388354141472,0.2831835574040362,0.7316437632757673
1.0,0.3,0.4319233919543848,0.7309052375010415,0.29898184554665663,0.8599840526012701
1.0,0.4,0.39646107377901796,0.7017766523483469,0.305315578569329,0.9404831149087156
1.0,0.5,0.35407469351141707,0.6724474595446083,0.31837276603319126,1.0138650904724114
1.0,0.6,0.31604130190347585,0.6575213291061264,0.34148002720265047,1.0758067211324804
1.0,0.7,0.2509374072564524,0.610587237345831,0.3596498300893785,1.1282973906535596
1.0,0.8,0.24921933741004176,0.610556458396836,0.36133712098679427,1.173231462533008
1.0,0.9,0.2372101042827989,0.6086719335529438,0.3714618292701449,1.2125607219701175
1.0,1.0,0.24334872457121032,0.612582570549218,0.36923384597800785,1.2392295152677064
2.0,0.1,0.7337602144487374,0.9059219185413576,0.1721617040926203,0.23179734677536867
2.0,0.2,0.630895500375164,0.8516909588919829,0.22079545851681887,0.3166745523961672
2.0,0.3,0.580385906058083,0.8230960084144,0.24271010235631713,0.3910648422784581
2.0,0.4,0.47922149476631387,0.762365787889662,0.2831442931233482,0.45125287405684444
2.0,0.5,0.47110324474981563,0.7669019273354547,0.29579868258563907,0.5040878930937083
2.0,0.6,0.37164501191283233,0.7062613122769846,0.33461630036415224,0.5540959218151815
2.0,0.7,0.3726259504720971,0.7025117055473685,0.3298857550752713,0.5959448490966761
2.0,0.8,0.354221059304803,0.7031870426477604,0.3489659833429574,0.6379716311878524
2.0,0.9,0.3237061996640656,0.6759066276531817,0.352200427989116,0.6673167644785658
2.0,1.0,0.2815262034708484,0.6503984436790395,0.3688722402081911,0.6970922323137467
4.0,0.1,0.8502409271716764,0.9588305775599112,0.10858965038823468,0.09202543223436574
4.0,0.2,0.7635356860076011,0.9265841303738517,0.16304844436625068,0.1374224995266053
4.0,0.3,0.6723577286724823,0.8831015990954763,0.21074387042299397,0.1795582869312526
4.0,0.4,0.6175425882826062,0.8560286819580176,0.2384860936754115,0.21686712246582393
4.0,0.5,0.5403101876359054,0.8263170519220056,0.2860068642861001,0.25555063741734724
4.0,0.6,0.5027234176357727,0.8150278014415612,0.3123043838057885,0.2862712146316589
4.0,0.7,0.4673353076574549,0.7955241469811541,0.32818883932369924,0.3145060214034475
4.0,0.8,0.4133753403398758,0.7659711669407376,0.3525958266008619,0.3438006218487143
4.0,0.9,0.41986668382967096,0.7876519061897482,0.3677852223600772,0.36646168353954145
4.0,1.0,0.3684517095864354,0.7574329764408988,0.3889812668544633,0.3923488703321682
