theta,epsilon,delta_v,Value_High,Value_Low,LH_Ratio
0.25,0.1,0.3090225844932789,0.700944320157421,0.391921735664142,3.4507533131873047
0.25,0.2,0.18745594486743225,0.5969323596774914,0.4094764148100591,3.823052690968453
0.25,0.3,0.16264747958756848,0.5808554918855637,0.4182080122979953,3.989936821087581
0.25,0.4,0.13760364134518582,0.556762357271572,0.4191587159263861,4.16048892264466
0.25,0.5,0.14594614052928834,0.5577950961045693,0.411848955575281,4.219804602109901
0.25,0.6,0.1096613195788887,0.5318700263627789,0.42220870678389016,4.302309451043314
0.25,0.7,0.11844129706135043,0.5373695844267571,0.41892828736540666,4.296519110696975
0.25,0.8,0.11186660696836392,0.5362501813652218,0.4243835743968578,4.350608618667629
0.25,0.9,0.09306803003486916,0.5181684186803664,0.4251003886454973,4.388212619027971
0.25,1.0,0.10809592081724788,0.5281654134669366,0.42006949264968874,4.423071549029527
0.5,0.1,0.46765554390686415,0.7854512468507981,0.317795702943934,1.3838659317743711
0.5,0.2,0.3591149709336226,0.6976401042611449,0.3385251333275222,1.6690574955178967
0.5,0.3,0.2788021490564557,0.6429879232514034,0.3641857741949478,1.85383312603057
0.5,0.4,0.287182209269791,0.6526447334890978,0.36546252421930686,1.9385620232604779
0.5,0.5,0.23534039886372318,0.6149723969467298,0.3796319980830066,2.068234080805695
0.5,0.6,0.22281274368403844,0.5969856603613499,0.3741729166773114,2.1393292449987142
0.5,0.7,0.18429622144980828,0.5780870590034449,0.39379083755363664,2.188636065869513
0.5,0.8,0.197914721887298,0.5771689295675027,0.3792542076802046,2.224915742010951
0.5,0.9,0.18325167275048437,0.5647737699489557,0.38152209719847124,2.265505951025742
0.5,1.0,0.13533620963401877,0.5328941311268784,0.3975579214928597,2.301253311191263
1.0,0.1,0.6200098575535024,0.8600912476823366,0.24008139012883425,0.5704132964134336
1.0,0.2,0.5182513264177822,0.7943075939271648,0.2760562675093826,0.7267661388277135
1.0,0.3,0.4317901946561948,0.7304207322706489,0.29863053761445413,0.8518021627393122
1.0,0.4,0.38256748566168847,0.6971633663727169,0.3145958807110284,0.9425906351697702
1.0,0.5,0.3362422659721339,0.6648299793993653,0.32858771342723136,1.0127945890964583
1.0,0.6,0.314711385169208,0.6542437368877976,0.3395323517185895,1.0865832839298364
1.0,0.7,0.2958719397952284,0.6451910996910043,0.34931915989577594,1.1383251193418409
1.0,0.8,0.2536701427873104,0.6131664945739571,0.3594963517866467,1.1692400815346873
1.0,0.9,0.24102235162930413,0.6137594575586504,0.3727371059293463,1.2143751236414875
1.0,1.0,0.21584359551504623,0.58481020853977,0.3689666130247237,1.2417076138756777
2.0,0.1,0.7508619486715299,0.9191561638479951,0.16829421517646523,0.23082448394031657
2.0,0.2,0.6333787611007233,0.8571839662154745,0.2238052051147513,0.31444240757509395
2.0,0.3,0.538468532627716,0.794433951847554,0.25596541921983795,0.3922657048783621
2.0,0.4,0.48145626906056976,0.7566068956052784,0.2751506265447087,0.45218355344243977
2.0,0.5,0.4617420691046134,0.7524627704624044,0.29072070135779093,0.5058765317931606
2.0,0.6,0.4086343552440915,0.7275277692099394,0.318893413965848,0.5520727722296963
2.0,0.7,0.3702656371857419,0.7085860861287886,0.3383204489430467,0.60123384172667
2.0,0.8,0.37999558065346256,0.7174752874538969,0.33747970680043443,0.6334666091960449
2.0,0.9,0.3190203417523569,0.6734296472401182,0.3544093054877614,0.6687345269873373
2.0,1.0,0.28421491902669704,0.6489308595828603,0.3647159405561632,0.6964006901855964
4.0,0.1,0.8256356146511059,0.9500948479317888,0.12445923328068302,0.09126773832694549
4.0,0.2,0.7461784489301972,0.9158715842526476,0.16969313532245028,0.1400197020353448
4.0,0.3,0.6930019233118856,0.8946615067417187,0.20165958342983323,0.1783010510740311
4.0,0.4,0.6061137428603347,0.8578346292671275,0.2517208864067929,0.21777289736281516
4.0,0.5,0.5524831832994413,0.8373557513909832,0.28487256809154177,0.25235079079308365
4.0,0.6,0.49495578947437424,0.7985217888327878,0.30356599935841355,0.28659873898355503
4.0,0.7,0.45166634058111893,0.7917172999436628,0.34005095936254376,0.3162994439678427
4.0,0.8,0.41417458278821345,0.7653427605864285,0.3511681777982151,0.3416280056888037
4.0,0.9,0.38548158145257166,0.7561295077922384,0.3706479263396668,0.36912680289784616
4.0,1.0,0.3703551556821842,0.756754722263914,0.3863995665817299,0.39174334017916085
