w_soc,step,delta_v
0.0,0,0.08789994000000004
0.0,1,0.171224664
0.0,2,0.2627256567
0.0,3,0.3206963945400001
0.0,4,0.37319890341
0.0,5,0.4225455069504
0.0,6,0.46257829217054997
0.0,7,0.493335112731216
0.0,8,0.5199661575330085
0.0,9,0.5411113513929906
0.0,10,0.5601468553126829
0.0,11,0.5759704902153276
0.0,12,0.5899386943966122
0.0,13,0.6022743465031923
0.0,14,0.6133202658227325
0.0,15,0.6226990702562618
0.0,16,0.6310635419985516
0.0,17,0.6390087764020772
0.0,18,0.6458669006949133
0.0,19,0.652501846148855
0.0,20,0.6584941897866928
0.0,21,0.6644602953443279
0.0,22,0.669944398985908
0.0,23,0.6746935566803198
0.0,24,0.6793694794874771
0.0,25,0.6836720920330157
0.0,26,0.6879222211161138
0.0,27,0.6917760460324981
0.0,28,0.6954954755719871
0.0,29,0.6991213082828808
0.0,30,0.702397404020914
0.0,31,0.7052041866855872
0.0,32,0.7076840635409951
0.0,33,0.709619561489242
0.0,34,0.7118951549739369
0.0,35,0.714233575704785
0.0,36,0.7165930830701815
0.0,37,0.7188499808588604
0.0,38,0.7211001651275459
0.0,39,0.7229253811634924
0.0,40,0.7240764317749377
0.0,41,0.7261652494666794
0.0,42,0.7275916347209961
0.0,43,0.7288934765210839
0.0,44,0.7302786973382325
0.0,45,0.7316275017535704
0.0,46,0.7323600835825076
0.0,47,0.733249048230329
0.0,48,0.7344724913412013
0.0,49,0.7356549426860739
0.0,50,0.7361538781137396
0.0,51,0.7372518929425198
0.0,52,0.7380226509937308
0.0,53,0.7389551186830225
0.0,54,0.7391420104483524
0.0,55,0.7397162449372907
0.0,56,0.7406815906789888
0.0,57,0.7411963384682657
0.0,58,0.7413717267717336
0.0,59,0.74200626344571
0.0,60,0.7423475540109967
0.0,61,0.7430174485032128
0.0,62,0.7433318423986266
0.0,63,0.7440219000559422
0.0,64,0.744325284795915
0.0,65,0.7449415218553583
0.0,66,0.7450513380694473
0.0,67,0.7454074504764115
0.0,68,0.7454229302351311
