theta,gamma,delta_v
0.0,0.0,-0.49899999999999994
0.0,0.05,-0.49899999999999994
0.0,0.1,-0.49899999999999994
0.0,0.15000000000000002,-0.49899999999999994
0.0,0.2,-0.49899999999999994
0.0,0.25,-0.49899999999999994
0.0,0.30000000000000004,-0.49899999999999994
0.0,0.35000000000000003,-0.49899999999999994
0.0,0.4,-0.49899999999999994
0.0,0.45,-0.49899999999999994
0.0,0.5,-0.49899999999999994
0.0,0.55,-0.49899999999999994
0.0,0.6000000000000001,-0.49899999999999994
0.0,0.65,-0.49899999999999994
0.0,0.7000000000000001,-0.49899999999999994
0.0,0.75,-0.49899999999999994
0.0,0.8,-0.49899999999999994
0.0,0.8500000000000001,-0.49899999999999994
0.0,0.9,-0.49899999999999994
0.0,0.9500000000000001,-0.49899999999999994
0.0,1.0,-0.49899999999999994
0.05,0.0,-0.41106134322881543
0.05,0.05,-0.4195697011833096
0.05,0.1,-0.42695529450859554
0.05,0.15000000000000002,-0.43338034366367684
0.05,0.2,-0.43898259250229843
0.05,0.25,-0.4440122820318354
0.05,0.30000000000000004,-0.4487835001041616
0.05,0.35000000000000003,-0.4526029491251088
0.05,0.4,-0.4559690430300883
0.05,0.45,-0.4593948683607906
0.05,0.5,-0.46204693109408856
0.05,0.55,-0.4644029509703126
0.05,0.6000000000000001,-0.4665017443415221
0.05,0.65,-0.46837656423970736
0.05,0.7000000000000001,-0.4703143549727953
0.05,0.75,-0.47183110713902765
0.05,0.8,-0.47319736179199845
0.05,0.8500000000000001,-0.47443135659795665
0.05,0.9,-0.4756930694583931
0.05,0.9500000000000001,-0.47671294036668116
0.05,1.0,-0.47764172474643096
0.1,0.0,-0.2110138969064152
0.1,0.05,-0.24308860394756143
0.1,0.1,-0.2715992915559794
0.1,0.15000000000000002,-0.2979574930506962
0.1,0.2,-0.31840321823627293
0.1,0.25,-0.33544167256147195
0.1,0.30000000000000004,-0.3511264619868795
0.1,0.35000000000000003,-0.36320026439283887
0.1,0.4,-0.3735200462696254
0.1,0.45,-0.38190397685131383
0.1,0.5,-0.390916944790738
0.1,0.55,-0.39770376555717746
0.1,0.6000000000000001,-0.4042012705160275
0.1,0.65,-0.4089687320344419
0.1,0.7000000000000001,-0.41246821103210385
0.1,0.75,-0.41626239800529685
0.1,0.8,-0.41993166347795163
0.1,0.8500000000000001,-0.4227393954320897
0.1,0.9,-0.4249116973735615
0.1,0.9500000000000001,-0.42686059248725783
0.1,1.0,-0.4286171635064126
0.15000000000000002,0.0,0.014675347951503234
0.15000000000000002,0.05,-0.02468859921326641
0.15000000000000002,0.1,-0.07250439107014327
0.15000000000000002,0.15000000000000002,-0.11901399276403155
0.15000000000000002,0.2,-0.15673275055029817
0.15000000000000002,0.25,-0.1903315849041819
0.15000000000000002,0.30000000000000004,-0.22069130672751175
0.15000000000000002,0.35000000000000003,-0.2426195039847175
0.15000000000000002,0.4,-0.26521771159041596
0.15000000000000002,0.45,-0.28192174537151615
0.15000000000000002,0.5,-0.2960160386211626
