theta,epsilon,delta_v,Value_High,Value_Low
0.25,1.0,0.26079885164663474,0.712434017785269,0.4516351661386342
0.25,1.0,0.2628491113117944,0.7182080249953571,0.4553589136835625
0.25,1.0,0.23797944785002412,0.686048415502019,0.44806896765199505
0.25,1.0,0.252477562871623,0.7008222048955435,0.4483446420239206
0.25,1.0,0.23246476276359604,0.6866580432554524,0.4541932804918563
0.25,1.0,0.2474234600077368,0.7096190016752142,0.4621955416674774
0.25,1.0,0.232553341832118,0.6774838904918308,0.4449305486597129
0.25,1.0,0.2607557899576195,0.7219861384130511,0.46123034845543154
0.25,1.0,0.23779031411552307,0.689622630926294,0.4518323168107709
0.25,1.0,0.2606100786380696,0.7075040781681733,0.4468939995301037
0.5,0.0,0.7505730714437621,0.9999999996825945,0.2494269282388324
0.5,0.0,0.7555690386015916,0.999999999929566,0.2444309613279743
0.5,0.0,0.7544075557891189,0.9999999998950034,0.2455924441058843
0.5,0.0,0.7399400821307555,0.9999999999128332,0.2600599177820779
0.5,0.0,0.747003786263046,0.9999999999135675,0.25299621365052144
0.5,0.0,0.7434007882033309,0.9999999998778821,0.2565992116745511
0.5,0.0,0.7442481102479199,0.999999999860685,0.255751889612765
0.5,0.0,0.7460335853815977,0.9999999998845773,0.2539664145029796
0.5,0.0,0.7422353710921682,0.9999999997966103,0.2577646287044421
0.5,0.0,0.7455739735433307,0.9999999998875814,0.2544260263442509
0.5,0.1,0.6522043836743713,0.9193829965581303,0.26717861288375894
0.5,0.1,0.6654609646572741,0.9340929552566728,0.26863199059939846
0.5,0.1,0.6522006799691762,0.9235995118331062,0.27139883186392993
0.5,0.1,0.6569475596421888,0.9243432428787891,0.2673956832366001
0.5,0.1,0.6779326301747213,0.9348770622950471,0.2569444321203259
0.5,0.1,0.6336128851383547,0.9155996869242758,0.2819868017859212
0.5,0.1,0.6623173036647754,0.9320788566905572,0.269761553025782
0.5,0.1,0.6669925191015446,0.9309801928537855,0.2639876737522409
0.5,0.1,0.639331834156804,0.9147266871613895,0.27539485300458566
0.5,0.1,0.6589431598570075,0.91789632637687,0.2589531665198627
0.5,0.2,0.588060938122243,0.8627459207618557,0.2746849826396127
0.5,0.2,0.5802334226910442,0.8607537211102505,0.28052029841920656
0.5,0.2,0.5469641530052668,0.8462037538961065,0.29923960089083934
0.5,0.2,0.540163450456779,0.8385521863108387,0.29838873585405973
0.5,0.2,0.5642753975759044,0.8516727175367589,0.2873973199608545
0.5,0.2,0.5389408240699741,0.8365538662537796,0.2976130421838054
0.5,0.2,0.5789388211627317,0.8607508440136058,0.28181202285087426
0.5,0.2,0.6032419840579131,0.8736869782355886,0.27044499417767515
0.5,0.2,0.5804593880242644,0.8664398317842351,0.28598044375997084
0.5,0.2,0.5606009202958281,0.8435048533221804,0.28290393302635236
0.5,0.3,0.4917035366957818,0.7988579486194247,0.3071544119236428
0.5,0.3,0.4698257182703445,0.7799339944984668,0.3101082762281225
0.5,0.3,0.47292129244640085,0.7774824638136919,0.3045611713672909
0.5,0.3,0.4779874580136626,0.7833673077424854,0.3053798497288228
0.5,0.3,0.4645149450330013,0.7826699029013584,0.31815495786835707
0.5,0.3,0.44096554466860644,0.7532983859864466,0.31233284131784006
0.5,0.3,0.4571128157080121,0.7694862822982098,0.31237346659019743
0.5,0.3,0.47797544394108543,0.7902837439369337,0.3123082999958483
0.5,0.3,0.48271754229770863,0.7918374446855907,0.309119902387882
0.5,0.3,0.4724043363968394,0.7750998832263211,0.30269554682948163
0.5,0.4,0.3228784774503493,0.6663054368418393,0.3434269593914901
0.5,0.4,0.41676591875291685,0.7461245567413437,0.32935863798842696
