theta,gamma,delta_v
0.1,0.0,-0.2536531883838356
0.1,0.1,-0.3062710641343394
0.1,0.2,-0.34531755284708027
0.1,0.3,-0.37304485026631
0.1,0.4,-0.39190405492231806
0.1,0.5,-0.40637174574299917
0.1,0.6,-0.41660864744573345
0.1,0.7,-0.42427792449836643
0.1,0.8,-0.43081937900022027
0.1,0.9,-0.43600231926622846
0.1,1.0,-0.4394324416791226
0.2,0.0,0.07783348089239443
0.2,0.1,-0.005517725648627561
0.2,0.2,-0.08925483581217182
0.2,0.3,-0.15253560507128122
0.2,0.4,-0.19653164101837906
0.2,0.5,-0.23281174032255658
0.2,0.6,-0.2554128585468958
0.2,0.7,-0.2718868001170559
0.2,0.8,-0.28859182074321377
0.2,0.9,-0.3008424421970769
0.2,1.0,-0.305875403924558
0.25,0.0,0.1724719005433124
0.25,0.1,0.11409962503066438
0.25,0.2,0.03765630825672825
0.25,0.3,-0.027280312674038822
0.25,0.4,-0.0756662264589419
0.25,0.5,-0.11780122848577898
0.25,0.6,-0.14546369119731895
0.25,0.7,-0.16718233381109585
0.25,0.8,-0.1903763688415851
0.25,0.9,-0.20941107378279333
0.25,1.0,-0.2152819099554076
0.3,0.0,0.2206171412983425
0.3,0.1,0.19789960803896706
0.3,0.2,0.14399384790949307
0.3,0.3,0.08980802666562275
0.3,0.4,0.04396779552024574
0.3,0.5,0.0007699632893431085
0.3,0.6,-0.02699100277803699
0.3,0.7,-0.05463155736983602
0.3,0.8,-0.08181328272656607
0.3,0.9,-0.10343779578806758
0.3,1.0,-0.11007720486706382
0.35,0.0,0.2404469983128432
0.35,0.1,0.24715304617796505
0.35,0.2,0.22400066411275257
0.35,0.3,0.18876027440225157
0.35,0.4,0.15229108332462882
0.35,0.5,0.11540253681215827
0.35,0.6,0.09003538228318506
0.35,0.7,0.06555027909110975
0.35,0.8,0.03723402951095277
0.35,0.9,0.010106878729219898
0.35,1.0,0.003070888845736691
0.4,0.0,0.24733907235539365
0.4,0.1,0.2729089932949855
0.4,0.2,0.2745196854675563
0.4,0.3,0.25912906099473604
0.4,0.4,0.2355190566572075
0.4,0.5,0.21026575757980695
0.4,0.6,0.18977497341058924
0.4,0.7,0.16617486434416506
0.4,0.8,0.13970394359519997
0.4,0.9,0.11846666380640211
0.4,1.0,0.11112874242109984
0.45,0.0,0.2492548308854755
0.45,0.1,0.2867169469417214
0.45,0.2,0.30703416180222387
0.45,0.3,0.31048653247354485
0.45,0.4,0.3027871921453045
0.45,0.5,0.28873544877279483
0.45,0.6,0.27446857611294645
0.45,0.7,0.2570954121279671
0.45,0.8,0.23266845669911987
0.45,0.9,0.2107771284622751
0.45,1.0,0.20566894253846152
0.5,0.0,0.24968918229429624
0.5,0.1,0.2937991088999642
0.5,0.2,0.3251435034546266
0.5,0.3,0.34241016962278736
0.5,0.4,0.349973648434814
0.5,0.5,0.3461165387220992
0.5,0.6,0.3404564222849953
0.5,0.7,0.32861667953761314
0.5,0.8,0.31114283002206
0.5,0.9,0.29623807671990965
0.5,1.0,0.29314577314613244
0.6,0.0,0.24998545415638143
0.6,0.1,0.30420815009229724
0.6,0.2,0.34671574685360596
0.6,0.3,0.3785790640218633
0.6,0.4,0.40122515199473596
0.6,0.5,0.41556068962942194
0.6,0.6,0.42672024809744064
0.6,0.7,0.4288943577337749
0.6,0.8,0.4270703905035988
0.6,0.9,0.4235293779220507
0.6,1.0,0.4251531521891666
0.8,0.0,0.2500005677624898
0.8,0.1,0.3193796606643617
0.8,0.2,0.37196882891446703
0.8,0.3,0.41311657487035625
0.8,0.4,0.44550619242619105
0.8,0.5,0.47179157158640594
0.8,0.6,0.4928742594871376
0.8,0.7,0.5098643751343251
0.8,0.8,0.5216422467469806
0.8,0.9,0.5306016380860987
0.8,1.0,0.5409577191862361
1.0,0.0,0.2500090807107111
1.0,0.1,0.3334263974129626
1.0,0.2,0.39304323863627566
1.0,0.3,0.43778055322738213
1.0,0.4,0.47258954225686006
1.0,0.5,0.5004374687203942
1.0,0.6,0.5231003304541401
1.0,0.7,0.5418628947482685
1.0,0.8,0.5577209780850384
1.0,0.9,0.5700604558513688
1.0,1.0,0.5813083014435437
2.0,0.0,0.2545499717722812
2.0,0.1,0.3941303106619445
2.0,0.2,0.4735101092241694
2.0,0.3,0.5242259585897292
2.0,0.4,0.5593424568788827
2.0,0.5,0.58507728909853
2.0,0.6,0.604739830368144
2.0,0.7,0.6202491085679621
2.0,0.8,0.6327933608477262
2.0,0.9,0.6431470774713278
2.0,1.0,0.6518363692162774
4.0,0.0,0.3404904103727263
4.0,0.1,0.4844307899720247
4.0,0.2,0.5595575201335643
4.0,0.3,0.6031486401476736
4.0,0.4,0.6308970237422128
4.0,0.5,0.6499269224198703
4.0,0.6,0.6637474263968762
4.0,0.7,0.6742324487967798
4.0,0.8,0.6824584856174709
4.0,0.9,0.6890841699239277
4.0,1.0,0.694534235686007
