theta,delta_v_gamma_min,delta_v_gamma_max,widening,condition,gamma_min,gamma_max
0.0,-0.49899999999999994,-0.49899999999999994,0.0,150%,0.0,1.0
0.05,-0.41106134322881543,-0.47764172474643096,-0.06658038151761553,150%,0.0,1.0
0.1,-0.2110138969064152,-0.4286171635064126,-0.2176032665999974,150%,0.0,1.0
0.15000000000000002,0.014675347951503234,-0.3598455720945145,-0.3745209200460177,150%,0.0,1.0
0.2,0.17464017124734516,-0.22123901637764617,-0.3958791876249913,150%,0.0,1.0
0.25,0.2338525900714389,-0.03058748244066334,-0.2644400725121022,150%,0.0,1.0
0.30000000000000004,0.2486192797839033,0.17062474537250055,-0.07799453441140275,150%,0.0,1.0
0.35000000000000003,0.24982846165964429,0.35179280871233937,0.10196434705269508,150%,0.0,1.0
0.4,0.24999904615078203,0.4865867469652548,0.23658770081447275,150%,0.0,1.0
0.45,0.2500006449613328,0.5492838197267544,0.29928317476542166,150%,0.0,1.0
0.5,0.25000860773981126,0.5851073426538099,0.33509873491399866,150%,0.0,1.0
0.55,0.2500744961800268,0.6062914010365853,0.3562169048565585,150%,0.0,1.0
0.6000000000000001,0.25048153841489107,0.6252130530534558,0.3747315146385647,150%,0.0,1.0
0.65,0.2528450012999042,0.6465053050481007,0.39366030374819644,150%,0.0,1.0
0.7000000000000001,0.2608383920063563,0.6623980516001275,0.40155965959377127,150%,0.0,1.0
0.75,0.2858822085010102,0.6795426723893122,0.393660463888302,150%,0.0,1.0
0.8,0.3393632472785266,0.6936333568419788,0.3542701095634522,150%,0.0,1.0
0.8500000000000001,0.43807744761374706,0.709841792854955,0.2717643452412079,150%,0.0,1.0
0.9,0.564992709180211,0.7213626896038617,0.1563699804236507,150%,0.0,1.0
0.9500000000000001,0.6900724911999998,0.7366776948230018,0.04660520362300202,150%,0.0,1.0
1.0,0.7489999999999999,0.7489999999999999,0.0,150%,0.0,1.0
