parameter_value,value_low,value_high,run
0.1,0.22997648482694216,0.8138844629338456,0
0.1,0.22452900261953773,0.8531439665339406,0
0.1,0.15300054192588491,0.8871718245715807,0
0.1,0.14668280791621433,0.8999060583869778,0
0.1,0.23049504906812393,0.8987000086617417,0
0.1,0.2106854378962039,0.8863769663042622,0
0.1,0.13764955551018299,0.8998122516418041,0
0.1,0.1377965420598486,0.8889537215168241,0
0.1,0.22861480985912158,0.8938890878726192,0
0.1,0.15423418091777394,0.8998273611464215,0
0.1,0.19149565456179163,0.8775049164123263,0
0.1,0.10641589858167744,0.8886670815128379,0
0.1,0.12490029532894735,0.888274603013537,0
0.1,0.1420654156355748,0.8468349809770422,0
0.1,0.30287826763694986,0.8981661202506475,0
0.1,0.26159201619391115,0.8750596094555054,0
0.1,0.1851444281811565,0.8928059497516472,0
0.1,0.14403072727478786,0.8164948312282297,0
0.1,0.5993839075356405,0.40747063384377324,0
0.1,0.595804783723611,0.5044933859200095,0
0.1,0.18694658528869773,0.8395539919456757,0
0.1,0.21752058953116787,0.8682448713347403,0
0.1,0.21661564119994903,0.8428948569183227,0
0.1,0.10158236432684511,0.8979865141546192,0
0.1,0.22641704077466485,0.8717290292511204,0
0.1,0.17408434015696064,0.8911884523170638,0
0.1,0.10006763315899023,0.8963001940720596,0
0.1,0.24520491419532256,0.8997304968689099,0
0.1,0.19526648087840404,0.8139570943688658,0
0.1,0.15795315101567456,0.8998840226999726,0
0.1,0.2741025617606241,0.8973004359190317,0
0.1,0.25329093602974745,0.8401643228379747,0
0.1,0.14711769364758456,0.8999060583869778,0
0.1,0.1343779829067048,0.8448455701302496,0
0.1,0.2958090465301392,0.8966872392526142,0
0.1,0.12908771827405816,0.8973200767766293,0
0.1,0.2575123086008606,0.795083283437608,0
0.1,0.20571725590217035,0.8989089476171634,0
0.1,0.21814054643772762,0.8961764228781602,0
0.1,0.1572095699285357,0.8839215676028801,0
0.1,0.07806305053287844,0.899682392620684,0
0.1,0.2485263571864011,0.875762976105033,0
0.1,0.1232369107104317,0.8874971971296399,0
0.1,0.34074584301332217,0.7804175526023001,0
0.1,0.08087459786666687,0.8900179423408512,0
0.1,0.5938849505455602,0.20389462078350767,0
0.1,0.10967343658493138,0.8992404469404232,0
0.1,0.40711011631100164,0.7618641122162431,0
0.1,0.12484404328499447,0.8735293602133083,0
0.1,0.2168767090022105,0.8531941903100382,0
