parameter_value,value_low,value_high,run
0.5,0.5999999808992069,0.423510311153715,0
0.5,0.29392227611458555,0.49999999999999023,0
0.5,0.15960482691209593,0.49798446080000003,0
0.5,0.07774702711525294,0.4847321376479976,0
0.5,0.20568127361601674,0.49881381366685795,0
0.5,0.1556282484645506,0.37999999999999995,0
0.5,0.5998119259911526,0.1544356627443157,0
0.5,0.5999999999999999,0.42750653980889314,0
0.5,0.12231749763632425,0.49999943093182797,0
0.5,0.15137610948024727,0.4999976722442439,0
0.5,0.05995233732580026,0.49999999999999994,0
0.5,0.00166559257693738,0.49996609779599877,0
0.5,0.5999999999999511,0.23735814454529405,0
0.5,0.5469402428197436,0.2987437579365938,0
0.5,1.637593833064026e-05,0.49999999975261655,0
0.5,0.5999999999999986,0.25955402788042325,0
0.5,0.5999999999750172,0.2796737146329393,0
0.5,0.13305284102210305,0.4992923188414418,0
0.5,0.16985632502881398,0.4999999979370698,0
0.5,0.5999999987681969,0.3866718460026193,0
0.5,0.5999694800200848,0.16443395904008828,0
0.5,0.5481373217859447,0.38883395034146984,0
0.5,0.5999999999584212,0.3492688505562387,0
0.5,0.5985156625273976,0.17529469319518304,0
0.5,0.5999999999540359,0.08633517935117013,0
0.5,8.03011268937754e-05,0.49999992851370706,0
0.5,0.545231538262191,0.4647487999999902,0
0.5,0.00013747856409955877,0.49999999999999994,0
0.5,0.23561535685788165,0.499999999999434,0
0.5,0.04728384834527144,0.49999928744188044,0
0.5,0.5981294805088897,0.03312455148093317,0
0.5,0.0014752006592500485,0.49999999999961786,0
0.5,0.5999949138838699,0.32448325912209963,0
0.5,0.007871280933367138,0.4999986190147205,0
0.5,0.5975754510175739,0.21090149097477845,0
0.5,0.5999999999850315,0.2219231680970773,0
0.5,0.5924655261780319,0.05463271990421478,0
0.5,0.5999902344551893,0.1637146467894297,0
0.5,0.03199871385890134,0.49999999999998374,0
0.5,0.5999999998061645,0.15256372136853152,0
0.5,0.5863839114747224,0.27078618106533064,0
0.5,0.5999999999582702,0.20358748139229288,0
0.5,0.5908293845074255,0.42654202879965086,0
0.5,0.3599999918004304,0.45062548640048,0
0.5,0.3854894887880679,0.49999999999999994,0
0.5,0.5999999999999824,0.24340541429188026,0
0.5,0.05446210418989229,0.49999999999999994,0
0.5,0.011312928097301906,0.496640768,0
0.5,0.06557934198302219,0.4999999999877159,0
0.5,0.1552903836092731,0.49999999999999994,0
0.5,0.5999998789073698,0.44277259153183907,0
0.5,0.019317035147089566,0.49997804077417224,0
0.5,0.011775545097292185,0.498790632265216,0
0.5,0.5999593760173288,0.1820193776889431,0
0.5,0.573083795270406,0.28208,0
0.5,0.14563219469676963,0.4279059630030848,0
0.5,0.5994725813010315,0.40288397139968,0
0.5,0.5999998874993967,0.25476590220577267,0
0.5,0.0027298973619503597,0.49999999998065164,0
0.5,0.5999849005768448,0.25246481232938267,0
0.5,0.00316316207313539,0.4999998770207453,0
0.5,0.08692602136669861,0.4999999999995937,0
0.5,0.5999997502364602,0.14963654105085278,0
0.5,0.0007618028147692537,0.49999975927344864,0
0.5,0.5999999947344857,0.3446927753951679,0
0.5,0.1693922564062229,0.49999999999997286,0
0.5,0.5999565399844872,0.2209823580246239,0
0.5,0.599999987834973,0.1561559203446511,0
0.5,0.45599999999981605,0.12263760101804412,0
0.5,0.5999999672117929,0.21908129727599157,0
0.5,0.5998984340855681,0.25583556717308753,0
0.5,0.5999983599554053,0.34753344499658345,0
0.5,0.5999999999118719,0.24730554394799042,0
0.5,0.5999980933792862,0.10802885837979988,0
0.5,0.5999953244030745,0.3779621059362904,0
0.5,0.1607959143373422,0.49614552197372574,0
0.5,0.5999999999987706,0.36851494961788595,0
0.5,0.007321619433956249,0.49999999999999994,0
0.5,0.568896,0.1682362335434241,0
0.5,0.03579786989295117,0.49999999999999994,0
0.5,0.5999940678804497,0.3003916355674293,0
0.5,0.1491057008517867,0.49999999998767136,0
0.5,0.5999999999999999,0.031384668439697894,0
0.5,0.5999999984218535,0.3285069831663554,0
0.5,0.597008110899764,0.2192247902208,0
0.5,0.00816570453335286,0.4999994313942394,0
0.5,0.5999999999778535,0.2528390782239791,0
0.5,0.2159976952513065,0.4628352601113484,0
0.5,0.5999986170352828,0.06362022755552094,0
0.5,0.1714005214837176,0.4999999942120164,0
0.5,0.0862996503650415,0.4999996181072871,0
0.5,0.599061567462271,0.2922873021986309,0
0.5,0.2956861084888907,0.49999999999989103,0
0.5,0.12953931130424437,0.452613625190113,0
0.5,0.1479130530167427,0.49999999999999994,0
0.5,0.5999988559032133,0.14218299596253486,0
0.5,0.3846255093947887,0.4999999178697115,0
0.5,0.599999980898639,0.051714307840670874,0
0.5,0.5999912121558804,0.45308793439468487,0
0.5,0.5999999999996128,0.25150491048325985,0
0.5,0.5996271932269739,0.1521536589445317,1
0.5,0.5999999898260439,0.4240530083288242,1
0.5,0.23372192937376987,0.4999990523237323,1
0.5,0.5999999999998968,0.22979640619825692,1
0.5,0.599999999897996,0.26004860558113113,1
0.5,0.5999999999978886,0.12918239714864213,1
0.5,0.5999999885385143,0.09714991137550039,1
0.5,0.5999235181975432,0.22597990549667363,1
0.5,0.5999999999999978,0.26484382699677134,1
0.5,0.21599122274428087,0.44699855724284787,1
0.5,0.5999177292376043,0.13653243258029202,1
0.5,0.599999999999897,0.15656470078576215,1
0.5,0.5999999999919388,0.019850639333579913,1
0.5,0.599580977122924,0.09396430490683472,1
0.5,0.5999998867779601,0.1986220597892901,1
0.5,0.25088909745685095,0.4999999999970736,1
0.5,0.22173561719533394,0.4867438221386601,1
0.5,0.04665599999997072,0.49846360503716847,1
0.5,0.5999999997193194,0.1823488241256781,1
0.5,0.07878628043660135,0.47408,1
0.5,0.5429897753306926,0.24924361260987188,1
0.5,0.042317523473940924,0.4906688,1
0.5,0.47059406603475773,0.4999999999954244,1
0.5,0.03502500170849944,0.4999999993211351,1
0.5,0.5990074261230155,0.24328598528000003,1
0.5,0.5839874816394803,0.31513968472821513,1
0.5,0.0016183074872524272,0.4999990523237323,1
0.5,0.5999999999885206,0.34191928129411725,1
0.5,0.0602847958707041,0.49999996984577466,1
0.5,0.33208133639949894,0.4999999999999998,1
0.5,0.5999903199488476,0.2351398712373928,1
0.5,0.006046609815860871,0.49997805183240424,1
