step,delta_v,gamma,scenario
146,0.25000000008448237,0.0,theta_intervention
147,0.2500000000717283,0.0,theta_intervention
148,0.2500000000536284,0.0,theta_intervention
149,0.25000000004185935,0.0,theta_intervention
150,0.250000000028662,0.0,theta_intervention
1,0.03,0.0,epsilon_intervention
2,0.06667499999999998,0.0,epsilon_intervention
3,0.10889249999999998,0.0,epsilon_intervention
4,0.12587700000000004,0.0,epsilon_intervention
5,0.15385312499999998,0.0,epsilon_intervention
6,0.17343585749999996,0.0,epsilon_intervention
7,0.1966523415,0.0,epsilon_intervention
8,0.21629633309999996,0.0,epsilon_intervention
9,0.23797549465499995,0.0,epsilon_intervention
10,0.24353135503274997,0.0,epsilon_intervention
11,0.2410023688295999,0.0,epsilon_intervention
12,0.24724286595065254,0.0,epsilon_intervention
13,0.2581614523316296,0.0,epsilon_intervention
14,0.2654943624150668,0.0,epsilon_intervention
15,0.27333682612143884,0.0,epsilon_intervention
16,0.27475234409624133,0.0,epsilon_intervention
17,0.28106197296709606,0.0,epsilon_intervention
18,0.2833678802054958,0.0,epsilon_intervention
19,0.28399600813812137,0.0,epsilon_intervention
20,0.28515724121686864,0.0,epsilon_intervention
21,0.2869095050361474,0.0,epsilon_intervention
22,0.28940970821848494,0.0,epsilon_intervention
23,0.289063334653611,0.0,epsilon_intervention
24,0.28571919456611294,0.0,epsilon_intervention
25,0.2847576835095173,0.0,epsilon_intervention
26,0.28248868334299343,0.0,epsilon_intervention
27,0.2808889910620015,0.0,epsilon_intervention
28,0.27956568862199865,0.0,epsilon_intervention
29,0.2780090773389063,0.0,epsilon_intervention
30,0.276395182296546,0.0,epsilon_intervention
31,0.27502258302090987,0.0,epsilon_intervention
32,0.27397859480689024,0.0,epsilon_intervention
33,0.2722756399877408,0.0,epsilon_intervention
34,0.26901137358769,0.0,epsilon_intervention
35,0.26824702750292023,0.0,epsilon_intervention
36,0.26647460799989675,0.0,epsilon_intervention
37,0.26502271062449173,0.0,epsilon_intervention
38,0.2635750832362731,0.0,epsilon_intervention
39,0.2622684820464676,0.0,epsilon_intervention
40,0.26169121518202604,0.0,epsilon_intervention
41,0.2606642819858597,0.0,epsilon_intervention
42,0.2600505591772673,0.0,epsilon_intervention
43,0.25912664349225556,0.0,epsilon_intervention
44,0.25881963185529017,0.0,epsilon_intervention
45,0.2581795971455634,0.0,epsilon_intervention
46,0.25800233892132085,0.0,epsilon_intervention
47,0.25766650089914994,0.0,epsilon_intervention
48,0.2573908081122536,0.0,epsilon_intervention
49,0.25687730251748875,0.0,epsilon_intervention
50,0.25630625064519325,0.0,epsilon_intervention
51,0.25579211480975,0.0,epsilon_intervention
52,0.25536400711312085,0.0,epsilon_intervention
53,0.25514311532423517,0.0,epsilon_intervention
54,0.2549190286006578,0.0,epsilon_intervention
55,0.25459510078473513,0.0,epsilon_intervention
56,0.25437047329039125,0.0,epsilon_intervention
57,0.2539172877146665,0.0,epsilon_intervention
58,0.2535515421378383,0.0,epsilon_intervention
59,0.25333504541640495,0.0,epsilon_intervention
60,0.2530372007125725,0.0,epsilon_intervention
61,0.2528504349733235,0.0,epsilon_intervention
62,0.2527223581358967,0.0,epsilon_intervention
63,0.25233057329583003,0.0,epsilon_intervention
64,0.25220279332781254,0.0,epsilon_intervention
65,0.2520249513549579,0.0,epsilon_intervention
66,0.25189777402906854,0.0,epsilon_intervention
67,0.25183131460772107,0.0,epsilon_intervention
68,0.2517597593446354,0.0,epsilon_intervention
69,0.2516640237643797,0.0,epsilon_intervention
70,0.25159308727701213,0.0,epsilon_intervention
71,0.25132095053537445,0.0,epsilon_intervention
72,0.25125379238638695,0.0,epsilon_intervention
73,0.2511846915557272,0.0,epsilon_intervention
74,0.2511100914435393,0.0,epsilon_intervention
75,0.25094750438985153,0.0,epsilon_intervention
76,0.2508480493707739,0.0,epsilon_intervention
77,0.25073463748755637,0.0,epsilon_intervention
78,0.2506487471052766,0.0,epsilon_intervention
79,0.25058743361198244,0.0,epsilon_intervention
80,0.25053028639173475,0.0,epsilon_intervention
81,0.25048336612124644,0.0,epsilon_intervention
82,0.2504291289271652,0.0,epsilon_intervention
83,0.25038748093722807,0.0,epsilon_intervention
84,0.25034381758393376,0.0,epsilon_intervention
85,0.25031107858664037,0.0,epsilon_intervention
86,0.25027787332092777,0.0,epsilon_intervention
87,0.2502481742758806,0.0,epsilon_intervention
88,0.25021655615524335,0.0,epsilon_intervention
89,0.25019497597104673,0.0,epsilon_intervention
90,0.25017351085039186,0.0,epsilon_intervention
91,0.25015616240081556,0.0,epsilon_intervention
92,0.2501373902245427,0.0,epsilon_intervention
93,0.25012064063215345,0.0,epsilon_intervention
94,0.2501064917058318,0.0,epsilon_intervention
95,0.25009781871932857,0.0,epsilon_intervention
96,0.2500848639413401,0.0,epsilon_intervention
97,0.25007781483388014,0.0,epsilon_intervention
98,0.25007176886450033,0.0,epsilon_intervention
99,0.2500642449487884,0.0,epsilon_intervention
100,0.25005898191017906,0.0,epsilon_intervention
101,0.25004985687673464,0.0,epsilon_intervention
102,0.25004248322427186,0.0,epsilon_intervention
103,0.2500385292159605,0.0,epsilon_intervention
104,0.2500331570639997,0.0,epsilon_intervention
105,0.25002970558829685,0.0,epsilon_intervention
106,0.2500262155598637,0.0,epsilon_intervention
107,0.25002359427593085,0.0,epsilon_intervention
108,0.2500212014526393,0.0,epsilon_intervention
109,0.25001890244259806,0.0,epsilon_intervention
110,0.25001639272837434,0.0,epsilon_intervention
111,0.25001451273296654,0.0,epsilon_intervention
112,0.2500130652584981,0.0,epsilon_intervention
113,0.2500119965813242,0.0,epsilon_intervention
114,0.25001059854914043,0.0,epsilon_intervention
115,0.25000930979738273,0.0,epsilon_intervention
116,0.2500085481083468,0.0,epsilon_intervention
117,0.25000784621745337,0.0,epsilon_intervention
118,0.25000720930560866,0.0,epsilon_intervention
119,0.2500061041680761,0.0,epsilon_intervention
120,0.2500055284691785,0.0,epsilon_intervention
121,0.25000492224206844,0.0,epsilon_intervention
122,0.25000451860017153,0.0,epsilon_intervention
123,0.2500040492916978,0.0,epsilon_intervention
124,0.2500037679803976,0.0,epsilon_intervention
125,0.25000334486477266,0.0,epsilon_intervention
126,0.25000298896926154,0.0,epsilon_intervention
127,0.25000258731281766,0.0,epsilon_intervention
128,0.2500023510132294,0.0,epsilon_intervention
129,0.2500020863518607,0.0,epsilon_intervention
130,0.2500019383328522,0.0,epsilon_intervention
131,0.25000162639315204,0.0,epsilon_intervention
132,0.25000142364962885,0.0,epsilon_intervention
133,0.2500012355818264,0.0,epsilon_intervention
134,0.25000112620201853,0.0,epsilon_intervention
135,0.2500010089765908,0.0,epsilon_intervention
136,0.25000095934598265,0.0,epsilon_intervention
137,0.2500008779077263,0.0,epsilon_intervention
138,0.2500007655249489,0.0,epsilon_intervention
139,0.25000066009395017,0.0,epsilon_intervention
140,0.2500005932198521,0.0,epsilon_intervention
141,0.2500005524608665,0.0,epsilon_intervention
142,0.2500004791747163,0.0,epsilon_intervention
143,0.25000041570073706,0.0,epsilon_intervention
144,0.2500003831889897,0.0,epsilon_intervention
145,0.2500003535485067,0.0,epsilon_intervention
146,0.25000032805213807,0.0,epsilon_intervention
147,0.25000029535441615,0.0,epsilon_intervention
148,0.2500002689047739,0.0,epsilon_intervention
149,0.25000024749130756,0.0,epsilon_intervention
150,0.2500002270925461,0.0,epsilon_intervention
1,0.044999999999999984,0.0,lambda_h_intervention
2,0.06007499999999996,0.0,lambda_h_intervention
3,0.09805500000000006,0.0,lambda_h_intervention
4,0.10834800000000003,0.0,lambda_h_intervention
5,0.12091537499999994,0.0,lambda_h_intervention
6,0.1434231900000001,0.0,lambda_h_intervention
7,0.17234714100000004,0.0,lambda_h_intervention
8,0.18197737087500004,0.0,lambda_h_intervention
9,0.1973039393475,0.0,lambda_h_intervention
10,0.2081917694205,0.0,lambda_h_intervention
11,0.2156388261114,0.0,lambda_h_intervention
12,0.224326315836675,0.0,lambda_h_intervention
13,0.2277481925812726,0.0,lambda_h_intervention
14,0.24135268693798095,0.0,lambda_h_intervention
15,0.24778783782001984,0.0,lambda_h_intervention
16,0.24503509488927505,0.0,lambda_h_intervention
17,0.24815071900039942,0.0,lambda_h_intervention
18,0.2529408651614763,0.0,lambda_h_intervention
19,0.2537734676940254,0.0,lambda_h_intervention
20,0.2562239289979043,0.0,lambda_h_intervention
21,0.26145338442911903,0.0,lambda_h_intervention
22,0.26527958491379455,0.0,lambda_h_intervention
23,0.26662184693395985,0.0,lambda_h_intervention
24,0.2646406502320388,0.0,lambda_h_intervention
25,0.2672549279763309,0.0,lambda_h_intervention
26,0.2663611338512147,0.0,lambda_h_intervention
27,0.2674833415888156,0.0,lambda_h_intervention
28,0.2668077314376891,0.0,lambda_h_intervention
29,0.26720900138344306,0.0,lambda_h_intervention
30,0.26695741070187123,0.0,lambda_h_intervention
31,0.2673409917483025,0.0,lambda_h_intervention
32,0.26714598123936845,0.0,lambda_h_intervention
33,0.26578987049314406,0.0,lambda_h_intervention
34,0.2645671471597063,0.0,lambda_h_intervention
35,0.2643748087308109,0.0,lambda_h_intervention
36,0.26394423764596947,0.0,lambda_h_intervention
37,0.2632597573383448,0.0,lambda_h_intervention
38,0.26252528471346104,0.0,lambda_h_intervention
39,0.26262084127972635,0.0,lambda_h_intervention
40,0.2627390152341257,0.0,lambda_h_intervention
41,0.26205347763708403,0.0,lambda_h_intervention
42,0.26142938287521633,0.0,lambda_h_intervention
43,0.2604223423665628,0.0,lambda_h_intervention
44,0.25974589731575487,0.0,lambda_h_intervention
45,0.2591688579332087,0.0,lambda_h_intervention
46,0.2588294383043085,0.0,lambda_h_intervention
47,0.2584897460594682,0.0,lambda_h_intervention
48,0.2580807619166479,0.0,lambda_h_intervention
49,0.257259943423051,0.0,lambda_h_intervention
50,0.2567398688311272,0.0,lambda_h_intervention
51,0.25614013524734125,0.0,lambda_h_intervention
52,0.2555471770662766,0.0,lambda_h_intervention
53,0.255300695114482,0.0,lambda_h_intervention
54,0.25499696677243905,0.0,lambda_h_intervention
55,0.2545462320346992,0.0,lambda_h_intervention
56,0.2542039769794406,0.0,lambda_h_intervention
57,0.253940017661876,0.0,lambda_h_intervention
58,0.25364098179548433,0.0,lambda_h_intervention
59,0.25337437379463434,0.0,lambda_h_intervention
60,0.25316977983766015,0.0,lambda_h_intervention
61,0.2529637022180433,0.0,lambda_h_intervention
62,0.25268459890111283,0.0,lambda_h_intervention
63,0.2525108186570829,0.0,lambda_h_intervention
64,0.25219403312708766,0.0,lambda_h_intervention
65,0.25209371918133944,0.0,lambda_h_intervention
66,0.2519706942959229,0.0,lambda_h_intervention
67,0.25184850333881975,0.0,lambda_h_intervention
68,0.25176942436068195,0.0,lambda_h_intervention
69,0.25165990856303333,0.0,lambda_h_intervention
70,0.25147270490647355,0.0,lambda_h_intervention
71,0.2513317096471566,0.0,lambda_h_intervention
