ratio,theta_post,DeltaV_post,Value_High_post,Value_Low_post
1.0,0.0,-0.014169519465379143,0.4858304805346208,0.4999999999999999
1.0,0.05,-0.41438113735462234,0.08314022113902444,0.49752135849364676
1.0,0.1,-0.35167025731380536,0.12666295184809212,0.4783332091618976
1.0,0.15000000000000002,-0.31202011583512507,0.1563827436364868,0.4684028594716116
1.0,0.2,-0.29948651607065613,0.16385112539989524,0.4633376414705513
1.0,0.25,-0.22134080044548649,0.21058646660854294,0.4319272670540294
1.0,0.30000000000000004,-0.22397387977914596,0.21167035952852883,0.4356442393076748
1.0,0.35000000000000003,-0.15091465646272542,0.25265287719613555,0.403567533658861
1.0,0.4,-0.0668849032537863,0.29949956064266847,0.3663844638964547
1.0,0.45,-0.008142682484361174,0.32723451217258315,0.3353771946569442
1.0,0.5,0.0978271093580964,0.3833995628553489,0.28557245349725263
1.0,0.55,0.19494342976447324,0.42667708183869124,0.23173365207421792
1.0,0.6000000000000001,0.29428974420745224,0.4666484212267766,0.1723586770193243
1.0,0.65,0.3150281614285688,0.47119741139057575,0.156169249962007
1.0,0.7000000000000001,0.3621506737495712,0.48140715843552523,0.11925648468595437
1.0,0.75,0.3909117718973079,0.4886558720941335,0.09774410019682572
1.0,0.8,0.40531512478692744,0.4915090213089874,0.0861938965220601
1.0,0.8500000000000001,0.4216450277764938,0.4915476050372513,0.06990257726075776
1.0,0.9,0.45407245731568596,0.4977487394717805,0.04367628215609443
1.0,0.9500000000000001,0.4592502959574959,0.49793956089231994,0.038689264934824066
1.0,1.0,0.41231554429993544,0.4999999999999999,0.08768445570006443
1.15,0.0,0.06575050989778955,0.5657505098977894,0.4999999999999999
1.15,0.05,-0.053479212299149315,0.41832606374030307,0.4718052760394523
1.15,0.1,-0.13760225297136008,0.31383565147246956,0.45143790444382964
1.15,0.15000000000000002,-0.17728904706801188,0.27047316595526283,0.4477622130232747
1.15,0.2,-0.17173439995813744,0.262908148819461,0.4346425487775984
1.15,0.25,-0.08027775674135233,0.3197327166969422,0.40001047343829466
1.15,0.30000000000000004,-0.05626252218706009,0.3380463242468344,0.39430884643389486
1.15,0.35000000000000003,0.06116231547867821,0.3969632040181918,0.3358008885395136
1.15,0.4,0.20391001890015112,0.478216324473676,0.274306305573525
1.15,0.45,0.24629092627776394,0.4966035990716911,0.25031267279392727
1.15,0.5,0.2983192601072178,0.5199262672356078,0.2216070071283899
1.15,0.55,0.3498612987276417,0.5375557852190778,0.18769448649143594
1.15,0.6000000000000001,0.4097765975131161,0.5563563969385895,0.14657979942547333
1.15,0.65,0.43637393495929266,0.5617381814990072,0.1253642465397145
1.15,0.7000000000000001,0.4479212253480724,0.5605137561038022,0.11259253075572981
1.15,0.75,0.4725491880405953,0.5653569342241885,0.09280774618359339
1.15,0.8,0.47904189833879157,0.5652353745053114,0.08619347616651968
1.15,0.8500000000000001,0.5016146671618393,0.5665151801641509,0.06490051300231149
1.15,0.9,0.5287832901762195,0.5724110503925476,0.043627760216328186
1.15,0.9500000000000001,0.534720354709964,0.5726304950261679,0.03791014031620384
1.15,1.0,0.5039671578684471,0.5749999999999998,0.07103284213155293
1.3,0.0,0.13954399976232998,0.6395439997623298,0.4999999999999999
1.3,0.05,0.023568261072642815,0.4933153561569217,0.46974709508427887
1.3,0.1,-0.056473837182214194,0.38953901711085687,0.4460128542930713
1.3,0.15000000000000002,-0.008053555730914541,0.41597401364523023,0.4240275693761449
1.3,0.2,0.03538169830822051,0.43544015499394273,0.400058456685722
1.3,0.25,0.15968196263074352,0.5067993585384195,0.3471173959076762
1.3,0.30000000000000004,0.1886991685138391,0.5161744468166944,0.3274752783028551
1.3,0.35000000000000003,0.22979811178847234,0.5303511480026806,0.3005530362142083
1.3,0.4,0.36154472415773753,0.6014027191304853,0.23985799497274787
1.3,0.45,0.4189628853993027,0.628142209453589,0.2091793240542863
1.3,0.5,0.4230598982215411,0.6196172631123138,0.19655736489077255
1.3,0.55,0.47623637800870366,0.6358835884127353,0.15964721040403151
1.3,0.6000000000000001,0.4958219953517597,0.6373533577997466,0.14153136244798667
1.3,0.65,0.5185083680302875,0.6389560816742269,0.12044771364393961
1.3,0.7000000000000001,0.5302703411579628,0.6380499355651601,0.10777959440719734
1.3,0.75,0.5462552576964981,0.6390951840012222,0.0928399263047241
1.3,0.8,0.5527682515078871,0.638961727701656,0.0861934761937688
1.3,0.8500000000000001,0.5755079508904318,0.640408464533388,0.06490051364295575
1.3,0.9,0.603445588827921,0.6470733613133146,0.04362777248539351
1.3,0.9500000000000001,0.6094110918374496,0.647321429160016,0.03791033732256634
1.3,1.0,0.5789629474074494,0.6500000000000002,0.07103705259255062
1.45,0.0,0.21333753819645468,0.713337538196455,0.4999999999999999
1.45,0.05,0.179676186057118,0.6394233992086426,0.4597472131515249
1.45,0.1,0.19987260481144326,0.6214457561803146,0.4215731513688715
1.45,0.15000000000000002,0.23973410352971047,0.6302506917342543,0.3905165882045442
1.45,0.2,0.2832933818120074,0.6384022959141531,0.35510891410214573
1.45,0.25,0.31599327529506993,0.635259476818131,0.31926620152306107
1.45,0.30000000000000004,0.3490064228258604,0.6495650774000333,0.30055865457417286
