theta_post,p_high_post,delta_v,Value_High,Value_Low,LH_Ratio
0.0,0.5,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.5249999999999999,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.55,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.575,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.6,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.625,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.6499999999999999,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.675,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.7,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.725,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.75,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.775,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.8,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.825,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.85,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.875,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.9,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.925,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.95,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,0.975,0.23793538434116007,0.73793538434116,0.5,100.0
0.0,1.0,0.23793538434116007,0.73793538434116,0.5,100.0
0.05,0.5,-0.07821832431354671,0.39127704671891084,0.46949537103245753,16.72114518135803
0.05,0.5249999999999999,-0.05950988429668628,0.4099153792985679,0.46942526359525416,16.68729292250577
0.05,0.55,-0.039935233833741965,0.42934841538185003,0.469283649215592,16.54718414239699
0.05,0.575,-0.01995760032293878,0.4491528392320321,0.4691104395549709,16.46977724374009
0.05,0.6,0.002539051491104824,0.4713740932844953,0.4688350417933904,16.286624840587685
0.05,0.625,0.026782963350020922,0.4950613255792651,0.46827836222924424,15.997384220097066
0.05,0.6499999999999999,0.053723222138085,0.5212281575785429,0.4675049354404579,15.479801013829652
0.05,0.675,0.09104564978154939,0.5568785124097826,0.4658328626282331,13.833502728781365
0.05,0.7,0.1362736461793736,0.5997683029488017,0.46349465676942814,12.930379275437323
0.05,0.725,0.20761284239932293,0.665841214199317,0.458228371799994,12.106920373228423
0.05,0.75,0.2326348124257442,0.6903428533715271,0.4577080409457829,12.071459722767772
0.05,0.775,0.25793061433825726,0.7152252382217558,0.45729462388349845,12.03584721028026
0.05,0.8,0.2817764906630793,0.7390002909278093,0.45722380026473,12.0038221520052
0.05,0.825,0.30694264805188554,0.7638345360326793,0.45689188798079367,11.94930070123375
0.05,0.85,0.3301877173074669,0.7870276339675091,0.4568399166600422,11.93291181234486
0.05,0.875,0.3540368370865437,0.810706376889839,0.45666953980329533,11.90931749000054
0.05,0.9,0.3776861694800159,0.8342215976459638,0.4565354281659479,11.869598875281925
0.05,0.925,0.4029348818408751,0.8592323955255269,0.4562975136846519,11.802033246466296
0.05,0.95,0.4270070399689261,0.8831106150888305,0.45610357511990446,11.779057055990105
0.05,0.975,0.4500260432988245,0.906128594514634,0.45610255121580956,11.764612611545662
0.05,1.0,0.4727442035601562,0.9288450047154377,0.4561008011552817,11.745445944878993
0.1,0.5,-0.18709829493946484,0.27159881921573037,0.45869711415519515,10.255131956837584
0.1,0.5249999999999999,-0.1674550682980765,0.29010152813518125,0.45755659643325775,10.087368932615401
0.1,0.55,-0.14812809064305515,0.3087544664480749,0.45688255709113,9.741545093356965
0.1,0.575,-0.12153949852109047,0.3332663122322116,0.45480581075330206,9.357334797655149
0.1,0.6,-0.09391842245837936,0.35903364125708276,0.45295206371546215,9.037432492317018
0.1,0.625,-0.05873066889753507,0.391618198234551,0.4503488671320861,8.625001870791177
0.1,0.6499999999999999,-0.01950056886972828,0.42762143561787347,0.4471220044876018,8.041092725460329
0.1,0.675,0.02865338965543851,0.4710597830141623,0.4424063933587237,7.344019410347729
0.1,0.7,0.10398477486015481,0.5385506232970618,0.43456584843690704,6.43463901219598
0.1,0.725,0.2109697962517813,0.633315575815024,0.42234577956324254,5.673346820278472
0.1,0.75,0.2423891151208369,0.6631716301978485,0.4207825150770116,5.60470217540666
0.1,0.775,0.2755936514876971,0.6946519728451481,0.41905832135745114,5.524414767553076
0.1,0.8,0.30684773166349455,0.7246552168448105,0.41780748518131594,5.435566886558119
0.1,0.825,0.3319451292565829,0.7495046313918103,0.4175595021352274,5.416611564918974
0.1,0.85,0.36020283090822647,0.7772008345179477,0.4169980036097212,5.367516984759749
0.1,0.875,0.38567118419446467,0.8025900055716031,0.4169188213771385,5.316400695358613
0.1,0.9,0.4133808364245911,0.8297776426142501,0.41639680618965913,5.269953104851425
0.1,0.925,0.4404050955585924,0.8564381227185531,0.41603302715996077,5.2392898506219945
0.1,0.95,0.46679031388012165,0.882540511998782,0.4157501981186604,5.214822923500268
0.1,0.975,0.48997996387828585,0.9055962190532906,0.4156162551750048,5.209481271688029
0.1,1.0,0.5156311819263849,0.9307691770887143,0.4151379951623294,5.198797649754406
0.15000000000000002,0.5,-0.23253403717641516,0.22092907270062662,0.45346310987704175,6.965430370719149
0.15000000000000002,0.5249999999999999,-0.21022392721747493,0.24149837401502494,0.4517223012324999,6.722245089449013
0.15000000000000002,0.55,-0.18000524123009828,0.26736712248984246,0.44737236371994077,6.373856607359189
0.15000000000000002,0.575,-0.14931426977427648,0.29469279161210526,0.4440070613863817,6.07181545221233
0.15000000000000002,0.6,-0.10912384874273477,0.32994430761468024,0.439068156357415,5.73934690063606
0.15000000000000002,0.625,-0.060410779573874016,0.3719896682610078,0.4324004478348818,5.356259822219171
0.15000000000000002,0.6499999999999999,-0.002986931304099383,0.4213045239836668,0.4242914552877662,4.9383401226276815
0.15000000000000002,0.675,0.06054695383848859,0.4763928705775514,0.4158459167390628,4.478544170202439
0.15000000000000002,0.7,0.13934091353699882,0.544809582518754,0.40546866898175515,3.9571092686037757
0.15000000000000002,0.725,0.23033289539998916,0.622423189327885,0.39209029392789574,3.5500091730543533
0.15000000000000002,0.75,0.2666750620146713,0.6563048339877793,0.389629771973108,3.4737178641334103
0.15000000000000002,0.775,0.29739275647076124,0.6855801950393723,0.38818743856861104,3.418463206420772
0.15000000000000002,0.8,0.3276715700574938,0.714885834186482,0.3872142641289882,3.3504868291459275
0.15000000000000002,0.825,0.3593691679154768,0.74520801378683,0.3858388458713532,3.3114924597412645
0.15000000000000002,0.85,0.3890450573407967,0.7738050894626514,0.38476003212185467,3.2734349815975987
0.15000000000000002,0.875,0.41936242390097495,0.8033176863543208,0.3839552624533459,3.205803482414459
0.15000000000000002,0.9,0.4462483546460775,0.8295193675048622,0.38327101285878473,3.1776583363106052
0.15000000000000002,0.925,0.47672708033098515,0.8590806311539325,0.3823535508229472,3.132556847890548
0.15000000000000002,0.95,0.5026882566231616,0.8846046550648943,0.38191639844173253,3.095167832995341
0.15000000000000002,0.975,0.5295527868681545,0.9106501198956725,0.3810973330275179,3.0743221116284314
0.15000000000000002,1.0,0.5565708018214978,0.937135448254077,0.38056464643257926,3.0518391222947865
0.2,0.5,-0.2500082658857802,0.19920125144352147,0.44920951732930164,5.065969764645015
0.2,0.5249999999999999,-0.22165877976814058,0.2226270278715734,0.44428580763971404,4.842141917205273
0.2,0.55,-0.18415699310329056,0.2533440131597321,0.4375010062630227,4.560789561922581
0.2,0.575,-0.13794145220463594,0.2909906956979823,0.42893214790261824,4.29129007013487
0.2,0.6,-0.09284453032030233,0.3282759846671333,0.42112051498743563,4.027709070165622
0.2,0.625,-0.0283265365720686,0.3815988418761452,0.4099253784482138,3.667728834685831
0.2,0.6499999999999999,0.032873847609147154,0.4321730820155034,0.3992992344063563,3.3787606649922575
0.2,0.675,0.11032264294553729,0.4962951022372362,0.38597245929169893,3.0105985598631695
0.2,0.7,0.1902400950946407,0.5626392304603545,0.3723991353657138,2.6275656077669964
0.2,0.725,0.2624108599524859,0.6242677506225445,0.36185689067005855,2.4144494293303866
0.2,0.75,0.3012161056149921,0.6593762403600353,0.3581601347450432,2.3447018554620858
0.2,0.775,0.3313874926918016,0.6878008441824278,0.35641335149062614,2.3090957101925538
0.2,0.8,0.36320967310907815,0.7177268907970548,0.3545172176879766,2.2689540226128497
0.2,0.825,0.3904704730933641,0.7434654964091585,0.35299502331579435,2.247024238889123
0.2,0.85,0.4198395494835177,0.7715216796183431,0.35168213013482535,2.2235011170061107
0.2,0.875,0.4492616492354727,0.7997597917458018,0.3504981425103291,2.194305404070443
0.2,0.9,0.4810331764134842,0.8296539082708623,0.3486207318573781,2.173701844355632
0.2,0.925,0.5134212130028417,0.8606791276402065,0.3472579146373647,2.140915836032126
0.2,0.95,0.5408104827782849,0.8874055102415326,0.3465950274632478,2.1153656347743905
0.2,0.975,0.5683876786272053,0.9144458819454678,0.34605820331826254,2.0948958589655353
0.2,1.0,0.599444958056596,0.9441775047691305,0.3447325467125345,2.0627253507285146
0.25,0.5,-0.2395630441068056,0.20334704389834127,0.4429100880051469,3.671416041953018
0.25,0.5249999999999999,-0.1987853755394663,0.2351284962978854,0.43391387183735175,3.4730364917534855
0.25,0.55,-0.15200120618142485,0.27093772997249094,0.4229389361539158,3.2485612907375687
0.25,0.575,-0.09613304916561857,0.3140599360281013,0.41019298519371983,3.02188487443972
0.25,0.6,-0.03479917450573799,0.36205663080022765,0.39685580530596565,2.7581505148360774
0.25,0.625,0.02450747518143708,0.40906654393042674,0.3845590687489896,2.5437657917577803
0.25,0.6499999999999999,0.09816506064698724,0.46762017773096004,0.3694551170839729,2.2998342314487514
0.25,0.675,0.17497626686470674,0.5283890519223398,0.353412785057633,2.0453223334092834
0.25,0.7,0.2491382150558147,0.5885749243973474,0.33943670934153275,1.8409155991034432
