theta,gamma,delta_v
0.0,0.0,-0.5
0.0,0.05,-0.5
0.0,0.1,-0.5
0.0,0.15000000000000002,-0.5
0.0,0.2,-0.5
0.0,0.25,-0.5
0.0,0.30000000000000004,-0.5
0.0,0.35000000000000003,-0.5
0.0,0.4,-0.5
0.0,0.45,-0.5
0.0,0.5,-0.5
0.0,0.55,-0.5
0.0,0.6000000000000001,-0.5
0.0,0.65,-0.5
0.0,0.7000000000000001,-0.5
0.0,0.75,-0.5
0.0,0.8,-0.5
0.0,0.8500000000000001,-0.5
0.0,0.9,-0.5
0.0,0.9500000000000001,-0.5
0.0,1.0,-0.5
0.05,0.0,-0.39517408160150347
0.05,0.05,-0.4022601063822259
0.05,0.1,-0.41044431189523733
0.05,0.15000000000000002,-0.4148866367046284
0.05,0.2,-0.42166484289852446
0.05,0.25,-0.42545284503063546
0.05,0.30000000000000004,-0.4288829858245335
0.05,0.35000000000000003,-0.4319930506155517
0.05,0.4,-0.43481656707981636
0.05,0.45,-0.4373833021828868
0.05,0.5,-0.43971970048083114
0.05,0.55,-0.44214124038471275
0.05,0.6000000000000001,-0.4440955786209848
0.05,0.65,-0.44588193463331666
0.05,0.7000000000000001,-0.4475169432475116
0.05,0.75,-0.44901543982151504
0.05,0.8,-0.45039066612958234
0.05,0.8500000000000001,-0.45165445189167386
0.05,0.9,-0.4528516077993726
0.05,0.9500000000000001,-0.4539240380799656
0.05,1.0,-0.4549135300795057
0.1,0.0,-0.1035471461774045
0.1,0.05,-0.16150463727062206
0.1,0.1,-0.19587998522746305
0.1,0.15000000000000002,-0.212631983001876
0.1,0.2,-0.23899298555179183
0.1,0.25,-0.25292912976763454
0.1,0.30000000000000004,-0.26746117566785327
0.1,0.35000000000000003,-0.2792548241052214
0.1,0.4,-0.2888827724127454
0.1,0.45,-0.296656535087811
0.1,0.5,-0.3035210605197668
0.1,0.55,-0.31143816908797217
0.1,0.6000000000000001,-0.3176216130389822
0.1,0.65,-0.323181397582864
0.1,0.7000000000000001,-0.3274095122648799
0.1,0.75,-0.33161264564898524
0.1,0.8,-0.335702939007679
0.1,0.8500000000000001,-0.3381917534727595
0.1,0.9,-0.34164267481163446
0.1,0.9500000000000001,-0.34363753270529135
0.1,1.0,-0.34846835574854024
0.15000000000000002,0.0,0.23815303480406902
0.15000000000000002,0.05,0.13681308797800654
0.15000000000000002,0.1,0.10168489714573241
0.15000000000000002,0.15000000000000002,0.07699106222364681
0.15000000000000002,0.2,0.035518316419064146
0.15000000000000002,0.25,0.007287136272675629
0.15000000000000002,0.30000000000000004,-0.016192087477226523
0.15000000000000002,0.35000000000000003,-0.04243042135858649
0.15000000000000002,0.4,-0.05759471271211926
0.15000000000000002,0.45,-0.07322039847091553
0.15000000000000002,0.5,-0.0925558892444048
0.15000000000000002,0.55,-0.1103813227564687
0.15000000000000002,0.6000000000000001,-0.12205561687403679
0.15000000000000002,0.65,-0.1324389433581015
0.15000000000000002,0.7000000000000001,-0.1411209437391835
0.15000000000000002,0.75,-0.14818625733077698
0.15000000000000002,0.8,-0.15784478812920366
0.15000000000000002,0.8500000000000001,-0.1628276982652317
0.15000000000000002,0.9,-0.16916116513304272
0.15000000000000002,0.9500000000000001,-0.17149393122567813
0.15000000000000002,1.0,-0.1779070575202486
0.2,0.0,0.42963066788370174
0.2,0.05,0.38111803874384353
0.2,0.1,0.36465030922679315
0.2,0.15000000000000002,0.342438961743661
0.2,0.2,0.3132164866207009
0.2,0.25,0.29471357393498837
0.2,0.30000000000000004,0.2755893921173068
0.2,0.35000000000000003,0.2480087778449135
0.2,0.4,0.22858011559475994
0.2,0.45,0.20895613402517027
0.2,0.5,0.1901009159466866
0.2,0.55,0.17212909830646253
0.2,0.6000000000000001,0.15966026668806857
0.2,0.65,0.14736557550257592
0.2,0.7000000000000001,0.13574359197706853
0.2,0.75,0.12364661371504124
0.2,0.8,0.1110842164688621
0.2,0.8500000000000001,0.10576472350683899
0.2,0.9,0.0971579439175457
0.2,0.9500000000000001,0.09475153135222177
0.2,1.0,0.08724934577640589
0.25,0.0,0.485495951244381
0.25,0.05,0.48681324854448826
0.25,0.1,0.49100467803866854
0.25,0.15000000000000002,0.4899251303573446
0.25,0.2,0.4828071532946129
0.25,0.25,0.480565329745378
0.25,0.30000000000000004,0.47231627055526504
0.25,0.35000000000000003,0.46139319253618466
0.25,0.4,0.4516811475098261
0.25,0.45,0.43965703236166503
0.25,0.5,0.42947784061014477
0.25,0.55,0.42181736023884386
0.25,0.6000000000000001,0.4151105175829531
0.25,0.65,0.4075310327696541
0.25,0.7000000000000001,0.3961963833384923
0.25,0.75,0.38647646207431025
0.25,0.8,0.3809085454800515
0.25,0.8500000000000001,0.37852803548587827
0.25,0.9,0.370384960597084
0.25,0.9500000000000001,0.3692967756844487
0.25,1.0,0.35842067488645013
0.30000000000000004,0.0,0.49884951645268166
0.30000000000000004,0.05,0.5178136086362979
0.30000000000000004,0.1,0.5346465203006338
0.30000000000000004,0.15000000000000002,0.5500030890576159
0.30000000000000004,0.2,0.5617873726308275
0.30000000000000004,0.25,0.572054933271526
0.30000000000000004,0.30000000000000004,0.5794256300031208
0.30000000000000004,0.35000000000000003,0.5873656471752283
0.30000000000000004,0.4,0.5918923642705345
0.30000000000000004,0.45,0.5940974172303389
0.30000000000000004,0.5,0.5942788002924354
0.30000000000000004,0.55,0.5934307455165793
0.30000000000000004,0.6000000000000001,0.5930262210469913
0.30000000000000004,0.65,0.5944371502369582
0.30000000000000004,0.7000000000000001,0.5916410473109757
0.30000000000000004,0.75,0.5900954830578513
0.30000000000000004,0.8,0.5881257259930432
0.30000000000000004,0.8500000000000001,0.589967527180417
