theta,epsilon,delta_v,Value_High,Value_Low
0.5,0.9,0.06563307086810066,0.5349621957021509,0.4693291248340502
0.5,0.9,-0.011217119085126188,0.47767665879768695,0.488893777882813
0.5,0.9,0.0005225052333603919,0.47747256281352657,0.4769500575801663
0.5,0.9,0.013740768708298825,0.48378188778948134,0.47004111908118246
0.5,0.9,0.046277354808042,0.501383020383782,0.45510566557574
0.5,0.9,0.08264690779383604,0.5372945929360915,0.45464768514225534
0.5,0.9,0.04173610079185984,0.4974199973657363,0.4556838965738764
0.5,0.9,0.0518406183175698,0.4975417520111299,0.44570113369356
0.5,0.9,0.03550921533377197,0.48132442485030585,0.44581520951653386
0.5,1.0,0.054876957298574024,0.5061018259009694,0.45122486860239547
0.5,1.0,0.015719030033380817,0.47764418133964576,0.461925151306265
0.5,1.0,0.024585568157302954,0.49037198549104666,0.4657864173337437
0.5,1.0,0.06772137254789347,0.535762389670027,0.46804101712213336
0.5,1.0,0.005926870154308498,0.47600631659977827,0.47007944644546973
0.5,1.0,0.03284696688190867,0.5127945346825045,0.47994756780059583
0.5,1.0,0.028612794409934587,0.502748801444103,0.4741360070341684
0.5,1.0,-0.01299999534259869,0.48235848507757595,0.4953584804201748
0.5,1.0,0.06730850414820283,0.5200447349266635,0.45273623077846054
0.5,1.0,0.0022882025522746085,0.4969412527573588,0.49465305020508415
1.0,0.1,0.47049209834737127,0.7676844211312903,0.29719232278391894
1.0,0.1,0.414766736408992,0.7158436967139562,0.3010769603049641
1.0,0.1,0.46487039465124036,0.7781465496607041,0.3132761550094637
1.0,0.1,0.4572110675297196,0.7435966160004779,0.28638554847075826
1.0,0.1,0.5667573560355206,0.8307112415860444,0.2639538855505239
1.0,0.1,0.5248312193160628,0.7761477893636954,0.2513165700476325
1.0,0.1,0.5226799785290134,0.7972383390164688,0.2745583604874554
1.0,0.1,0.4395741533863827,0.7545470174920844,0.3149728641057015
1.0,0.1,0.47189577596205323,0.7586566380800173,0.286760862117964
1.0,0.1,0.4540111276583458,0.726540402424066,0.2725292747657202
1.0,0.2,0.32501853357021643,0.674260988026388,0.3492424544561713
1.0,0.2,0.3618815340497504,0.6883437648819036,0.32646223083215326
1.0,0.2,0.3866634535763454,0.679388436377865,0.2927249828015195
1.0,0.2,0.3506312514826328,0.6973881018973921,0.34675685041475945
1.0,0.2,0.4520651521555433,0.7588825744860281,0.30681742233048476
1.0,0.2,0.39997192454974845,0.7311671814648864,0.3311952569151378
1.0,0.2,0.44459656049009005,0.7631331409530024,0.31853658046291233
1.0,0.2,0.41764161518476617,0.7220534345898476,0.3044118194050812
1.0,0.2,0.4125794447911823,0.7371028420645357,0.32452339727335344
1.0,0.2,0.36311251475353484,0.7048222690169781,0.3417097542634432
1.0,0.3,0.2771942335637309,0.6534164854909534,0.3762222519272225
1.0,0.3,0.3101216877705772,0.6725596092300242,0.36243792145944703
1.0,0.3,0.36005370911877344,0.7352185604158089,0.3751648512970354
1.0,0.3,0.27337080908820127,0.6553981730417651,0.38202736395356374
1.0,0.3,0.31448614913116424,0.6882675991801206,0.37378145004895624
1.0,0.3,0.3184589253678965,0.642108368090458,0.3236494427225615
1.0,0.3,0.3597069319204385,0.6970204086159083,0.3373134766954698
1.0,0.3,0.30307287933132715,0.6494453463959043,0.3463724670645771
1.0,0.3,0.28477284283342147,0.6491886384121359,0.3644157955787144
1.0,0.3,0.29209482482230065,0.6743861572024277,0.3822913323801268
1.0,0.4,0.22321174303084007,0.6121197034331353,0.3889079604022951
1.0,0.4,0.20339301102345064,0.6055706543952504,0.40217764337179956
1.0,0.4,0.29773204603491815,0.6380467945315063,0.34031474849658794
1.0,0.4,0.2583869210113863,0.6511857284261385,0.3927988074147523
1.0,0.4,0.1825802173102133,0.5812552185721988,0.3986750012619854
1.0,0.4,0.13467239271770295,0.5815442774890487,0.44687188477134576
1.0,0.4,0.23197869340580474,0.6057657093266786,0.3737870159208738
1.0,0.4,0.2722634620382793,0.6321662903904246,0.3599028283521452
1.0,0.4,0.2720245941465543,0.6170462145567019,0.3450216204101477
1.0,0.4,0.3010586271283163,0.6760719675404272,0.3750133404121108
1.0,0.5,0.22106521906099313,0.6220675856992312,0.4010023666382381
1.0,0.5,0.18607350518864668,0.5903694961509058,0.40429599096225916
1.0,0.5,0.19297721483410635,0.5782428675460539,0.3852656527119477
1.0,0.5,0.26922662552833304,0.6485466904085767,0.37932006488024356
1.0,0.5,0.19587924514045776,0.6032689892395728,0.40738974409911494
1.0,0.5,0.18251909102798383,0.6013119663478824,0.41879287531989867
1.0,0.5,0.22005924562590082,0.6201042714308308,0.4000450258049299
1.0,0.5,0.3345774598511463,0.6709933765541723,0.3364159167030264
1.0,0.5,0.2334336867467014,0.6100258273163852,0.3765921405696838
1.0,0.5,0.31099915144531215,0.6766177816099145,0.3656186301646023
1.0,0.6,0.06049655407483621,0.5067951068904298,0.4462985528155937
1.0,0.6,0.22840991587757967,0.6108869348652215,0.38247701898764197
1.0,0.6,0.24753612981171977,0.6309524600776292,0.38341633026590943
1.0,0.6,0.15576624933569888,0.5853031531718679,0.42953690383616894
1.0,0.6,0.21056117649563272,0.5901062338843238,0.3795450573886911
1.0,0.6,0.07794302218253418,0.5268116550493221,0.44886863286678796
1.0,0.6,0.1781305371301609,0.5769205007660523,0.39878996363589136
1.0,0.6,0.16860723771607408,0.5787276505276714,0.41012041281159745
1.0,0.6,0.11551905859048438,0.5508330977160384,0.43531403912555405
1.0,0.6,0.2404450637247858,0.6348108939359518,0.39436583021116606
1.0,0.7,0.13629654496887653,0.5720351086589042,0.43573856369002767
