sample_id,rep,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate,delta
0,0,0.6396325662752181,0.9791861859050057,0.3395536196297876,0.020057404215899678,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,1,0.6386415967974455,0.9794459652924213,0.3408043684949758,0.020249055195871956,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,2,0.6436738217830323,0.9783378201802989,0.33466399839726657,0.017439780611433975,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,3,0.644761679124116,0.9792626118780048,0.33450093275388876,0.016844218425297413,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,4,0.6376046157179394,0.9778536268576203,0.34024901113968103,0.017044188390799738,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,5,0.6477623000493846,0.97924839782159,0.33148609777220533,0.016646708931027977,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,6,0.64316739012269,0.9788212940774065,0.3356539039547165,0.01908597445090303,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,7,0.6493544777096407,0.978555329629787,0.3292008519201463,0.01687239629734398,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,8,0.6532343312414732,0.9790528419010249,0.32581851065955175,0.01757656096099883,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,9,0.6448336038629717,0.9774495672608104,0.3326159633978387,0.018521585544393853,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,10,0.6323049189225104,0.9777809372483243,0.34547601832581387,0.019488631409132377,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,11,0.6405638046752555,0.9793936228532054,0.3388298181779498,0.018251122051322267,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,12,0.6443459767526467,0.9793512301884125,0.33500525343576576,0.01871717762628413,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,13,0.63368341029759,0.9790498464790747,0.34536643618148466,0.017746474064395154,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,14,0.6322471095576148,0.9788076473133589,0.3465605377557442,0.01969088516514916,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,15,0.6454275166045017,0.9786416608581122,0.3332141442536105,0.018728194060349163,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,16,0.6444866010627628,0.9792670487823709,0.3347804477196082,0.017132657944631122,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,17,0.644355214842699,0.9789433107872754,0.33458809594457634,0.018062011656510765,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,18,0.6381613460695845,0.9782448208228532,0.34008347475326867,0.018945314558272155,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
0,19,0.6434745438400329,0.9779491550403308,0.3344746112002978,0.017522795278686297,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
1,0,0.02922071079844002,0.47087821578557054,0.4416575049871305,2.732311188271675,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,1,0.05364326556329313,0.4904655049922789,0.4368222394289858,2.725197394638198,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,2,0.043633544772962274,0.4860228810474299,0.44238933627446764,2.717409051219988,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,3,0.044629722208057554,0.48411232964896145,0.4394826074409039,2.695566029243908,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,4,0.04155984116620165,0.4833677009049787,0.44180785973877706,2.709209372926426,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,5,0.03098453598823042,0.47423017284102814,0.4432456368527977,2.7024001374758857,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,6,0.04757820361434473,0.4833549215719514,0.4357767179576067,2.6792865775714465,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,7,0.03557134771536746,0.4700550602085435,0.434483712493176,2.6998173683376443,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,8,0.027922251525534347,0.4732006237712491,0.44527837224571476,2.7099845639616387,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,9,0.012539311570714973,0.4542874166013779,0.4417481050306629,2.743094878677239,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,10,0.04935777116021889,0.4906911491424692,0.4413333779822503,2.6771855379233744,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,11,0.022354414704091885,0.46804122542536425,0.44568681072127236,2.750652677701901,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,12,0.03931326791510931,0.4817480063844484,0.4424347384693391,2.7235249744201377,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,13,0.03762916571063274,0.4815476611787928,0.44391849546816003,2.717547766793668,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,14,0.03970763385946979,0.4860273649592672,0.4463197310997974,2.7119064873958596,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,15,0.04005921719952782,0.4770787462098487,0.4370195290103209,2.7101226378592638,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,16,0.035341234308990555,0.476216616807158,0.44087538249816743,2.7414337140905913,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,17,0.04531383851243731,0.487623124782999,0.4423092862705617,2.7076421093589924,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,18,0.04944381495942324,0.4916668256291855,0.4422230106697623,2.720372644695201,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
1,19,0.038784940786465716,0.4775968250606215,0.4388118842741558,2.713128522070187,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
2,0,0.2770641191424742,0.6577586411827099,0.3806945220402357,0.6530540770724065,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,1,0.30697251789906455,0.6807948418314624,0.3738223239323979,0.6353080889136357,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,2,0.29189421529989046,0.6619374656673962,0.37004325036750574,0.6502248606249442,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,3,0.24154745299894897,0.6294556914922548,0.3879082384933058,0.6616091658359322,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,4,0.29638128678240416,0.669538271060143,0.3731569842777388,0.6612975232713499,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,5,0.3230920370748367,0.6887247325872917,0.36563269551245503,0.6457106650824411,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,6,0.2642379610541034,0.6437330842057543,0.37949512315165085,0.6564144688122948,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,7,0.2580334197482138,0.6408228687082282,0.38278944896001443,0.6514976437268244,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,8,0.3030059308358659,0.6750930816223593,0.37208715078649335,0.6533820530914604,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,9,0.298903595846698,0.6720136554795515,0.3731100596328535,0.6476601627335681,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,10,0.28257153951686054,0.6654076810024576,0.3828361414855971,0.6784447612998621,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,11,0.28146180354871464,0.6564586463533266,0.374996842804612,0.6484777627585706,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,12,0.30477279912914734,0.6771085687911439,0.37233576966199655,0.6351667081078523,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,13,0.28401866294923694,0.6595734957912031,0.3755548328419661,0.6629197734608471,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,14,0.2861845386060383,0.6535218836123936,0.3673373450063553,0.6403483711228573,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,15,0.27794467066709383,0.6573566065106822,0.37941193584358834,0.6574527725475231,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,16,0.28292200095912756,0.6601743650892915,0.37725236413016394,0.6421838976706753,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,17,0.339251498354496,0.6929161502788211,0.35366465192432517,0.6378317103283293,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,18,0.2970434396003469,0.6709755865704726,0.3739321469701257,0.6579412143294385,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
2,19,0.2786580286185765,0.6568650580150361,0.3782070293964596,0.6573658500736912,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
3,0,0.33115588280465874,0.7583425797454197,0.427186696940761,0.62696619154526,0.6836889090860107,0.6712380191408013,0.9027544952777525,0.5,0.5888846368038196,0.438951626746782,0.5325950215229038
3,1,0.3292543755986131,0.7644823388207003,0.4352279632220872,0.6331186807851406,0.6836889090860107,0.6712380191408013,0.9027544952777525,0.5,0.5888846368038196,0.438951626746782,0.5325950215229038
3,2,0.3133882571552158,0.7488560545577593,0.4354677974025435,0.6415172645632806,0.6836889090860107,0.6712380191408013,0.9027544952777525,0.5,0.5888846368038196,0.438951626746782,0.5325950215229038
3,3,0.3299158711630679,0.761357152185941,0.4314412810228731,0.6300738111632053,0.6836889090860107,0.6712380191408013,0.9027544952777525,0.5,0.5888846368038196,0.438951626746782,0.5325950215229038
