sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate,delta
0,0.6420858412654555,0.9787321460588645,0.3366463047934089,0.018231156841935152,0.9766997666981422,0.3801957350196178,0.9808115584409889,0.5,0.2595485292070988,0.11809123296664281,0.2417662932527851
1,0.03822940170197569,0.4794106186476762,0.4411812169457005,2.714389681731661,0.3185339287822264,0.9640792451783763,0.8159124510687734,0.5,0.4049354047112538,0.8636212965699608,0.8637576707745845
2,0.28879807593160695,0.6635115187925991,0.37471344286099206,0.6517145765432252,0.674881313349695,0.6598743479594311,0.9339394245789886,0.5,0.18603309233056928,0.8704149724889354,0.06013865780151506
3,0.3249482269567487,0.7570253968468276,0.4320771698900788,0.6352289894330259,0.6836889090860107,0.6712380191408013,0.9027544952777525,0.5,0.5888846368038196,0.438951626746782,0.5325950215229038
4,0.4127239709949214,0.9107159660829506,0.49799199508802927,95.7055,0.0031322874578293414,0.25126710549130427,0.9646226093555826,0.5,0.46790949701983353,0.9220432168103057,0.15347417112811557
5,0.8635453478649587,0.9831744133535292,0.11962906548857041,0.00289262177848334,0.9922592294876191,0.18233178284895335,0.9850282255706811,0.5,0.3341053575369255,0.8289891999288848,0.2810522629658764
6,0.34671314817519444,0.840932413140437,0.49421926496524254,0.3185569199643781,0.8690915111825115,0.9764165742940587,0.9604284143616417,0.5,0.2852542148853443,0.48266943701385,0.09218154684827984
7,0.09046442474417112,0.5328575540443221,0.44239312930015096,3.7104822779076643,0.22668310505425948,0.5365662367513122,0.9333079127927097,0.5,0.252750384828756,0.9473596032886419,0.7510338363593166
8,0.31024415365134245,0.711761137954337,0.40151698430299454,1.0532595526291995,0.472048459872236,0.4572758795949079,0.9365844508092473,0.5,0.24675077906810486,0.7333144993171773,0.8088307025622912
9,0.7167818169490869,0.87668524262569,0.15990342567660315,0.017383586043658732,0.8870869741717364,0.024833211267027866,0.8781373619229261,0.5,0.24017447581451687,0.45213172657406264,0.5312210890116851
10,0.4573744719338351,0.8003190808958847,0.34294460896204954,0.00025757575757575756,0.9886345634286613,0.0059781688730145,0.8003220713940706,0.5,0.2703724195281737,0.053001962545479286,0.32649449538067055
11,0.05106034846729206,0.5087569640698067,0.45769661560251473,5.80728258046563,0.19835820718308184,0.8292149093742202,0.9092804071577248,0.5,0.21008021864369172,0.6811760056464958,0.13441008942863109
12,0.6581006749044984,0.9465929577058635,0.28849228280136496,0.013779356529986311,0.9565136908680434,0.13652397740514988,0.9494255347435776,0.5,0.2523538636969177,0.2342060522066809,0.8930081662176329
13,0.32072563663432285,0.7409163691952432,0.4201907325609203,0.7504793021608296,0.37753650395330374,0.07634545162114037,0.7584517136093754,0.5,0.5369119803682448,0.3506094910196108,0.8235205516449388
14,0.5630056537855601,0.823694426809159,0.26068877302359883,0.009471225425996373,0.9471990743671518,0.06704070988991806,0.8244600226546558,0.5,0.2508787148100923,0.17484645112507746,0.495505195217647
15,0.29531663713652406,0.7534834248688853,0.45816678773236114,0.4491582927256698,0.7605704002660505,0.6872615770719864,0.812038694868917,0.5,0.2578278453898243,0.27721641720837376,0.9298652107952872
16,0.029433484626781702,0.45852308604199105,0.42908960141520935,3.2341479318814437,0.27959526911855404,0.9488350155396007,0.8005043378243994,0.5,0.2901515652128003,0.8081067272417845,0.1275536679476561
17,0.45036223768724143,0.7640585884895104,0.31369635080226893,0.07521325835460776,0.9513395513366475,0.7288273572721244,0.7938862494544101,0.5,0.14641651187097113,0.5564015705845731,0.1024941347304994
18,0.1688575196616555,0.6607105413085572,0.49185302164690176,25.197602494727494,0.043693241312568465,0.3926905066752112,0.9227635153206846,0.5,0.43451579926885087,0.5915547336476866,0.8790005515634676
