parameter,varied,spearman_rho,abs_spearman_rho,prcc,abs_prcc
epsilon,True,-0.5741611126444506,0.5741611126444506,-0.808025629037783,0.808025629037783
theta_post,True,0.574938619754479,0.574938619754479,0.807217799223288,0.807217799223288
p_high,True,0.31727771711086844,0.31727771711086844,0.5943716728389538,0.5943716728389538
extinction_rate,True,-0.2040504482017928,0.2040504482017928,-0.33989044504277865,0.33989044504277865
delta,True,-0.039288541154164615,0.039288541154164615,-0.11460198423669203,0.11460198423669203
learning_rate,True,-0.06834324937299749,0.06834324937299749,-0.10649799554570764,0.10649799554570764
p_low,False,,,,
