theta,epsilon,delta_v,Value_High,Value_Low,LH_Ratio
0.25,0.1,0.17492929344349128,0.5401386957126545,0.36520940226916315,3.2705437743844623
0.25,0.1,0.14435125813270566,0.5510630379395198,0.4067117798068141,3.263422148608925
0.25,0.1,0.16594575675696177,0.5432842497353234,0.3773384929783616,3.2303123537032774
0.25,0.1,0.10693728809529122,0.47720256582828474,0.3702652777329935,3.4362059695382268
0.25,0.1,0.11780218335091452,0.4992600026118973,0.3814578192609827,3.294341199283082
0.25,0.1,0.07788514348176315,0.49108040616921445,0.41319526268745127,3.582906674604264
0.25,0.1,0.1824468231704737,0.5683138397356488,0.385867016565175,3.143475368399903
0.25,0.1,0.04291054706271198,0.470659766771259,0.4277492197085469,3.215574700198894
0.25,0.1,0.11351140885995825,0.5173404754611308,0.4038290666011725,3.4921615081760495
0.25,0.1,0.13861039494268723,0.5124705052146904,0.37386011027200317,3.690370908193935
0.25,0.2,0.13245272248714673,0.5170190220200646,0.3845662995329178,3.7971703629095948
0.25,0.2,0.06499375047036704,0.4581006364410856,0.3931068859707185,3.9052868004425942
0.25,0.2,0.05840500169022209,0.45051360676915936,0.39210860507893736,3.7639001114452078
0.25,0.2,0.07356016476658761,0.47233702577422493,0.39877686100763726,3.729218844149914
0.25,0.2,0.13676049604188167,0.5214707686142662,0.38471027257238455,3.5770759083420463
0.25,0.2,0.06875220616503618,0.47310950927301293,0.40435730310797674,3.6474467942531947
0.25,0.2,0.022104488925190527,0.4284811145608966,0.4063766256357061,3.6882788000884767
0.25,0.2,0.02680503912918989,0.4496358662504681,0.4228308271212782,3.695537271072632
0.25,0.2,0.03232497835516914,0.45529266234984456,0.4229676839946754,3.8426976444577927
0.25,0.2,0.04448297598128586,0.46281851644328575,0.41833554046199983,3.6905719229512925
0.25,0.3,0.05493177714742498,0.47077319902987846,0.4158414218824536,3.9650002048980895
0.25,0.3,0.05495874280986153,0.4621520718959533,0.4071933290860919,3.9815900360657825
0.25,0.3,0.06415844975993791,0.4766012560650197,0.4124428063050818,3.8909034762838433
0.25,0.3,-0.031125109928105327,0.3936695943768717,0.4247947043049771,4.040319466872391
0.25,0.3,-0.0023819288823491514,0.40722865499967964,0.40961058388202864,3.9400453056436
0.25,0.3,-0.05162323972984819,0.39684506334095315,0.44846830307080154,4.104440750578245
0.25,0.3,0.0005288439608635625,0.4171984109868778,0.41666956702601415,3.9642222429626868
0.25,0.3,0.036566460518021524,0.43609407233850667,0.39952761182048513,3.7243471472251906
0.25,0.3,0.10720020694657643,0.5076234496238987,0.40042324267732227,3.894738337788324
0.25,0.3,0.01005626785454088,0.4103404533708843,0.40028418551634337,4.055801425810737
0.25,0.4,-0.015452270474628533,0.41038981161184984,0.4258420820864783,4.134840091379781
0.25,0.4,0.008357271412160198,0.4170732048603096,0.4087159334481494,4.133245087712754
0.25,0.4,0.13018030490546711,0.5146914043622739,0.3845110994568068,4.030956697557655
0.25,0.4,0.08977077520685028,0.4917887362051867,0.4020179609983364,4.004244237389101
0.25,0.4,0.038868894732712066,0.4464097184399031,0.40754082370719114,4.006527913374601
0.25,0.4,-0.03930965702753612,0.39364443361313134,0.4329540906406675,4.077085078262859
0.25,0.4,0.03352818511818808,0.44047806635018055,0.40694988123199244,4.1022394231611345
0.25,0.4,0.08991889357849286,0.48959145049610514,0.39967255691761217,4.1600701557384285
0.25,0.4,-0.0428715357898644,0.39660978728358126,0.4394813230734457,4.197470731945612
0.25,0.4,0.04422159557943353,0.47007027899022896,0.4258486834107954,4.026555401967731
0.25,0.5,0.007901617057506497,0.4315805890872087,0.4236789720297023,4.382022228854239
0.25,0.5,0.040643710213233625,0.46738529762113046,0.4267415874078968,4.1364004436749005
0.25,0.5,-0.009006229568812106,0.42461840623053043,0.4336246357993425,4.20279600396911
0.25,0.5,-0.04806614911537219,0.40342497152538054,0.4514911206407526,4.235268612735634
0.25,0.5,-0.02268905231637385,0.404470687524783,0.427159739841157,4.2020186601112695
0.25,0.5,-0.0036835774050023302,0.4120407024338953,0.41572427983889776,4.277858417626069
