theta_post,p_high_post,delta_v,Value_High,Value_Low,LH_Ratio,reward_contrast
0.0,0.5,0.49999999999999484,0.9999999999999949,0.5,100.0,1.0
0.0,0.5249999999999999,0.49999999999999484,0.9999999999999949,0.5,100.0,1.0499999999999998
0.0,0.55,0.49999999999999484,0.9999999999999949,0.5,100.0,1.1
0.0,0.575,0.49999999999999484,0.9999999999999949,0.5,100.0,1.15
0.0,0.6,0.49999999999999484,0.9999999999999949,0.5,100.0,1.2
0.0,0.625,0.49999999999999484,0.9999999999999949,0.5,100.0,1.25
0.0,0.6499999999999999,0.49999999999999484,0.9999999999999949,0.5,100.0,1.2999999999999998
0.0,0.675,0.49999999999999484,0.9999999999999949,0.5,100.0,1.35
0.0,0.7,0.49999999999999484,0.9999999999999949,0.5,100.0,1.4
0.0,0.725,0.49999999999999484,0.9999999999999949,0.5,100.0,1.45
0.0,0.75,0.49999999999999484,0.9999999999999949,0.5,100.0,1.5
0.0,0.775,0.49999999999999484,0.9999999999999949,0.5,100.0,1.55
0.0,0.8,0.49999999999999484,0.9999999999999949,0.5,100.0,1.6
0.0,0.825,0.49999999999999484,0.9999999999999949,0.5,100.0,1.65
0.0,0.85,0.49999999999999484,0.9999999999999949,0.5,100.0,1.7
0.0,0.875,0.49999999999999484,0.9999999999999949,0.5,100.0,1.75
0.0,0.9,0.49999999999999484,0.9999999999999949,0.5,100.0,1.8
0.0,0.925,0.49999999999999484,0.9999999999999949,0.5,100.0,1.85
0.0,0.95,0.49999999999999484,0.9999999999999949,0.5,100.0,1.9
0.0,0.975,0.49999999999999484,0.9999999999999949,0.5,100.0,1.95
0.0,1.0,0.49999999999999484,0.9999999999999949,0.5,100.0,2.0
0.05,0.5,-0.03939805706757423,0.42785942509250396,0.46725748216007823,13.570674818387667,1.0
0.05,0.5249999999999999,-0.018414245304868102,0.4486019158044578,0.467016161109326,13.502741917954765,1.0499999999999998
0.05,0.55,0.0033344416986922087,0.47019914364037624,0.46686470194168406,13.417150842363691,1.1
0.05,0.575,0.03453603484936398,0.5004310058618374,0.46589497101247346,12.945085263893313,1.15
0.05,0.6,0.057141901098625346,0.5227098135673914,0.46556791246876605,12.885397174205224,1.2
0.05,0.625,0.09209162177288989,0.5557811007262352,0.46368947895334534,12.559368896926946,1.25
0.05,0.6499999999999999,0.11897690952212928,0.5820918317676,0.4631149222454708,12.462480230038278,1.2999999999999998
0.05,0.675,0.15738325837391715,0.6185627530783341,0.461179494704417,12.202094088402138,1.35
0.05,0.7,0.19478167081987033,0.653934140722918,0.45915246990304776,12.055803226486276,1.4
0.05,0.725,0.22751300156708804,0.68508970868957,0.4575767071224819,11.914768358576406,1.45
0.05,0.75,0.2530545385977217,0.7102877705127371,0.4572332319150153,11.77452596208401,1.5
0.05,0.775,0.27907625113521045,0.7359013954253655,0.456825144290155,11.715803226486276,1.55
0.05,0.8,0.3029404354221584,0.7595636615273317,0.45662322610517325,11.69699731018036,1.6
0.05,0.825,0.32700892971691564,0.7835024156164228,0.45649348589950706,11.661880066313115,1.65
0.05,0.85,0.3500684950239661,0.8065420475070137,0.4564735524830478,11.62118562186867,1.7
0.05,0.875,0.3736529180958365,0.8299838530713549,0.4563309349755184,11.60160103978409,1.75
0.05,0.9,0.39933986272812555,0.8553368538561961,0.45599699112807046,11.567553975737024,1.8
0.05,0.925,0.42187346415411947,0.8778696687704122,0.45599620461629276,11.566199913132962,1.85
0.05,0.95,0.4448515638847321,0.9008460111846283,0.45599444729989613,11.547866579799628,1.9
0.05,0.975,0.46717259004894823,0.9231670373488443,0.45599444729989613,11.547866579799628,1.95
0.05,1.0,0.4900107291047943,0.9459678867095607,0.4559571576047662,11.527412034345083,2.0
0.1,0.5,-0.16325966642238518,0.2919490104648494,0.45520867688723454,8.077622727129421,1.0
0.1,0.5249999999999999,-0.14009688764292672,0.31340333610846877,0.4535002237513955,7.905999572583485,1.0499999999999998
0.1,0.55,-0.11594636642724195,0.33615842100575566,0.4521047874329976,7.676905637140815,1.1
0.1,0.575,-0.0861439696340068,0.36391281398391906,0.45005678361792595,7.272507079343264,1.15
0.1,0.6,-0.05473991211928932,0.3927347525585859,0.4474746646778753,7.069989912204529,1.2
0.1,0.625,-0.01586651731687624,0.42905194613720565,0.44491846345408187,6.7199334703999725,1.25
0.1,0.6499999999999999,0.023656453381584164,0.4652904305591915,0.44163397717760733,6.489985710969011,1.2999999999999998
0.1,0.675,0.07437449851256435,0.5114264963673021,0.4370519978547377,6.176859773985678,1.35
0.1,0.7,0.14806316523273474,0.577752227000269,0.42968906176753424,5.754278878555867,1.4
0.1,0.725,0.21680147325233157,0.6386625599149311,0.42186108666259947,5.543318930727363,1.45
0.1,0.75,0.2497143822204113,0.6696546909633934,0.4199403087429821,5.450725268466888,1.5
0.1,0.775,0.28332333574254326,0.7013872594139687,0.41806392367142553,5.3682719796676235,1.55
0.1,0.8,0.310150736317669,0.7280859684709325,0.4179352321532635,5.324292759283606,1.6
0.1,0.825,0.3379951848461765,0.7554021625160926,0.41740697766991613,5.271130677342499,1.65
0.1,0.85,0.3659046921648379,0.7826560427550795,0.41675135059024154,5.2238833909713565,1.7
0.1,0.875,0.3915733581485293,0.8080750326941238,0.4165016745455946,5.200958762850117,1.75
0.1,0.9,0.41909489141428297,0.8350182887927208,0.4159233973784377,5.181407802114945,1.8
0.1,0.925,0.4445087183731292,0.8602091388018687,0.4157004204287394,5.173417895779451,1.85
0.1,0.95,0.4683899389516669,0.8839933919694255,0.41560345301775864,5.171418341970687,1.9
0.1,0.975,0.4924856356377413,0.9079786628706259,0.4154930272328846,5.161055045136802,1.95
0.1,1.0,0.519459744815409,0.934280410553133,0.4148206657377241,5.136670267828487,2.0
0.15000000000000002,0.5,-0.21646866772321016,0.2339730358077318,0.45044170353094193,5.874721460207853,1.0
0.15000000000000002,0.5249999999999999,-0.18945599799671017,0.25817001316226523,0.44762601115897543,5.611340909227321,1.0499999999999998
0.15000000000000002,0.55,-0.15699410367588676,0.2860223060801575,0.4430164097560443,5.3270726456378705,1.1
0.15000000000000002,0.575,-0.12180557776229953,0.31743807989306483,0.43924365765536433,5.020584546799233,1.15
0.15000000000000002,0.6,-0.08194678442176516,0.3522898653685743,0.4342366497903395,4.807617742533877,1.2
0.15000000000000002,0.625,-0.029393058904208874,0.3972558405355728,0.4266488994397816,4.438447641776838,1.25
0.15000000000000002,0.6499999999999999,0.02628323511256605,0.445574257460512,0.4192910223479459,4.168914384928938,1.2999999999999998
0.15000000000000002,0.675,0.08321636089889753,0.49509027325960425,0.41187391236070675,3.9181246166096018,1.35
0.15000000000000002,0.7,0.16198028306934775,0.5635334672315757,0.40155318416222796,3.646719587197377,1.4
0.15000000000000002,0.725,0.2357290776841609,0.6269383695770891,0.39120929189292813,3.445528926186406,1.45
0.15000000000000002,0.75,0.2705064036980488,0.6597357318700556,0.38922932817200684,3.356245427280239,1.5
0.15000000000000002,0.775,0.301475795680478,0.6893095263472049,0.3878337306667269,3.3006586521348473,1.55
0.15000000000000002,0.8,0.33057883224940754,0.7174207087329965,0.38684187648358886,3.2530523966333282,1.6
0.15000000000000002,0.825,0.3626490687278304,0.7479847780751668,0.3853357093473364,3.211732802000319,1.65
