theta,delta_v_gamma_min,delta_v_gamma_max,widening,condition,gamma_min,gamma_max
0.0,-0.5,-0.5,0.0,200%,0.0,1.0
0.05,-0.39517408160150347,-0.4549135300795057,-0.05973944847800222,200%,0.0,1.0
0.1,-0.1035471461774045,-0.34846835574854024,-0.24492120957113572,200%,0.0,1.0
0.15000000000000002,0.23815303480406902,-0.1779070575202486,-0.4160600923243176,200%,0.0,1.0
0.2,0.42963066788370174,0.08724934577640589,-0.3423813221072959,200%,0.0,1.0
0.25,0.485495951244381,0.35842067488645013,-0.12707527635793087,200%,0.0,1.0
0.30000000000000004,0.49884951645268166,0.5826326837624451,0.08378316730976348,200%,0.0,1.0
0.35000000000000003,0.49997132819547685,0.7127008722433523,0.21272954404787547,200%,0.0,1.0
0.4,0.5000027483912561,0.7768064319484295,0.27680368355717333,200%,0.0,1.0
0.45,0.5000239796660312,0.8130643071143815,0.3130403274483503,200%,0.0,1.0
0.5,0.500151220181316,0.8357558428248228,0.3356046226435069,200%,0.0,1.0
0.55,0.5007329103984816,0.8562907325620298,0.35555782216354825,200%,0.0,1.0
0.6000000000000001,0.5028956550581759,0.875145845659827,0.3722501906016511,200%,0.0,1.0
0.65,0.51043385201022,0.8962489580174353,0.38581510600721536,200%,0.0,1.0
0.7000000000000001,0.5284003499931135,0.9122511810020407,0.38385083100892725,200%,0.0,1.0
0.75,0.5690651511961227,0.9294104352723883,0.36034528407626565,200%,0.0,1.0
0.8,0.6376843255361779,0.9436692207413122,0.3059848952051343,200%,0.0,1.0
0.8500000000000001,0.7401434862444992,0.9595925950789056,0.21944910883440638,200%,0.0,1.0
0.9,0.8540089485312246,0.9717509970074276,0.11774204847620307,200%,0.0,1.0
0.9500000000000001,0.9550185249999996,0.9870334225307088,0.032014897530709185,200%,0.0,1.0
1.0,1.0,1.0,0.0,200%,0.0,1.0
