theta,delta_v_gamma_min,delta_v_gamma_max,widening,condition,gamma_min,gamma_max
0.0,-0.5,-0.5,0.0,150%,0.0,1.0
0.05,-0.4327108064624857,-0.4789183600271779,-0.046207553564692194,150%,0.0,1.0
0.1,-0.27553201553724455,-0.4427877107474291,-0.16725569521018457,150%,0.0,1.0
0.15000000000000002,-0.07855640496089474,-0.39085746740136473,-0.31230106244047,150%,0.0,1.0
0.2,0.1114152083887738,-0.2979281791899451,-0.4093433875787189,150%,0.0,1.0
0.25,0.21171088823404594,-0.17266302002083692,-0.3843739082548828,150%,0.0,1.0
0.30000000000000004,0.24547005262880411,-0.013200518352235962,-0.25867057098104007,150%,0.0,1.0
0.35000000000000003,0.24949887965902412,0.1664073954446758,-0.08309148421434831,150%,0.0,1.0
0.4,0.249982219514628,0.35095392287510224,0.10097170336047423,150%,0.0,1.0
0.45,0.2500192543385729,0.4837260276493668,0.23370677331079387,150%,0.0,1.0
0.5,0.25014205813520113,0.5623551230145234,0.31221306487932227,150%,0.0,1.0
0.55,0.25069979354219757,0.6017962790042274,0.3510964854620298,150%,0.0,1.0
0.6000000000000001,0.2527883149941735,0.6246330963001554,0.3718447813059819,150%,0.0,1.0
0.65,0.26019643275112314,0.6462485877781349,0.38605215502701173,150%,0.0,1.0
0.7000000000000001,0.27807198683706214,0.6622509696274897,0.3841789827904276,150%,0.0,1.0
0.75,0.3186594659085964,0.6794104161888753,0.3607509502802789,150%,0.0,1.0
0.8,0.38726265594821835,0.6936691192081316,0.3064064632599132,150%,0.0,1.0
0.8500000000000001,0.48987573220147446,0.7095923813702611,0.2197166491687867,150%,0.0,1.0
0.9,0.6038965644587246,0.7217506976435357,0.11785413318481108,150%,0.0,1.0
0.9500000000000001,0.7050185249999998,0.737033422530709,0.032014897530709185,150%,0.0,1.0
1.0,0.7499999999999999,0.7499999999999999,0.0,150%,0.0,1.0
