theta,gamma,delta_v
0.30000000000000004,0.8,0.011456748508370154
0.30000000000000004,0.8500000000000001,0.0033795353156856776
0.30000000000000004,0.9,-0.001683251401096489
0.30000000000000004,0.9500000000000001,-0.0068782275094026344
0.30000000000000004,1.0,-0.013200518352235962
0.35000000000000003,0.0,0.24949887965902412
0.35000000000000003,0.05,0.2745789926998231
0.35000000000000003,0.1,0.2947161955828776
0.35000000000000003,0.15000000000000002,0.30941021014639947
0.35000000000000003,0.2,0.31767429421307913
0.35000000000000003,0.25,0.3155191621129244
0.35000000000000003,0.30000000000000004,0.3098916108148275
0.35000000000000003,0.35000000000000003,0.30116145569259095
0.35000000000000003,0.4,0.2910197855862379
0.35000000000000003,0.45,0.28117475038215994
0.35000000000000003,0.5,0.26488602690124885
0.35000000000000003,0.55,0.24979641090061316
0.35000000000000003,0.6000000000000001,0.23626300631249478
0.35000000000000003,0.65,0.22587413538828605
0.35000000000000003,0.7000000000000001,0.20911621911073075
0.35000000000000003,0.75,0.19919411052399122
0.35000000000000003,0.8,0.19763960800535302
0.35000000000000003,0.8500000000000001,0.19019557669986253
0.35000000000000003,0.9,0.18216509006329865
0.35000000000000003,0.9500000000000001,0.17199942008604857
0.35000000000000003,1.0,0.1664073954446758
0.4,0.0,0.249982219514628
0.4,0.05,0.2812940878849406
0.4,0.1,0.30820958977331736
0.4,0.15000000000000002,0.331903941374763
0.4,0.2,0.35128635255208307
0.4,0.25,0.36760560255887603
0.4,0.30000000000000004,0.3782534144418705
0.4,0.35000000000000003,0.3871079632596572
0.4,0.4,0.391722080404798
0.4,0.45,0.39466617120807324
0.4,0.5,0.394083848440271
0.4,0.55,0.38926003614383836
0.4,0.6000000000000001,0.38857969290134026
0.4,0.65,0.3844542290750662
0.4,0.7000000000000001,0.37226518322590707
0.4,0.75,0.36874746594315433
0.4,0.8,0.366966126785958
0.4,0.8500000000000001,0.36484504987285926
0.4,0.9,0.35805481973176506
0.4,0.9500000000000001,0.3535365946574784
0.4,1.0,0.35095392287510224
0.45,0.0,0.2500192543385729
0.45,0.05,0.28787950567177445
0.45,0.1,0.3204873974921589
0.45,0.15000000000000002,0.34876593143169987
0.45,0.2,0.37348257197704293
0.45,0.25,0.39502543629461584
0.45,0.30000000000000004,0.41395627701745463
0.45,0.35000000000000003,0.4293469646917106
0.45,0.4,0.4433290992017496
0.45,0.45,0.45493625923256664
0.45,0.5,0.46382585316763014
0.45,0.55,0.47089075144911174
0.45,0.6000000000000001,0.4776312796308491
0.45,0.65,0.4787942265896235
0.45,0.7000000000000001,0.4783070242826114
0.45,0.75,0.4790852010373302
0.45,0.8,0.4799175318669523
0.45,0.8500000000000001,0.48186497790061866
0.45,0.9,0.4814670054827184
0.45,0.9500000000000001,0.48190841879178226
0.45,1.0,0.4837260276493668
0.5,0.0,0.25014205813520113
0.5,0.05,0.2954074564773535
0.5,0.1,0.33328170819794306
0.5,0.15000000000000002,0.3654279132878376
0.5,0.2,0.39304259178488565
0.5,0.25,0.41701233552911515
0.5,0.30000000000000004,0.43801448419326805
0.5,0.35000000000000003,0.45620015867804364
0.5,0.4,0.4725046449722908
0.5,0.45,0.4867649273182163
0.5,0.5,0.4994452749985324
0.5,0.55,0.5105310819779016
0.5,0.6000000000000001,0.5205691300012096
0.5,0.65,0.5286595916331357
0.5,0.7000000000000001,0.5357275288622899
0.5,0.75,0.540675298680687
0.5,0.8,0.5467380157547436
0.5,0.8500000000000001,0.551198031046826
0.5,0.9,0.5543448962634236
0.5,0.9500000000000001,0.5583558674975774
0.5,1.0,0.5623551230145234
0.55,0.0,0.25069979354219757
0.55,0.05,0.30495392795939924
0.55,0.1,0.34872613873825753
0.55,0.15000000000000002,0.38473775638644453
0.55,0.2,0.41486466394912647
0.55,0.25,0.4404279170398596
0.55,0.30000000000000004,0.4623931720438435
0.55,0.35000000000000003,0.48145967368524134
0.55,0.4,0.49817504360345594
0.55,0.45,0.5129449152813985
0.55,0.5,0.5256480990869458
0.55,0.55,0.536997083674816
0.55,0.6000000000000001,0.5475882462637877
0.55,0.65,0.5571745598042368
0.55,0.7000000000000001,0.5655962126824388
0.55,0.75,0.5729918818604263
0.55,0.8,0.5803013370830483
0.55,0.8500000000000001,0.5865380057896452
0.55,0.9,0.5927390455738315
0.55,0.9500000000000001,0.5977163400834639
0.55,1.0,0.6017962790042274
0.6000000000000001,0.0,0.2527883149941735
0.6000000000000001,0.05,0.31626172946191383
0.6000000000000001,0.1,0.36579218260365226
0.6000000000000001,0.15000000000000002,0.40536982023111595
0.6000000000000001,0.2,0.4376416178873083
0.6000000000000001,0.25,0.46442315214412533
0.6000000000000001,0.30000000000000004,0.48698999652306785
0.6000000000000001,0.35000000000000003,0.5062553772234726
0.6000000000000001,0.4,0.5228929809373917
0.6000000000000001,0.45,0.5373996035959212
0.6000000000000001,0.5,0.5501669104575659
0.6000000000000001,0.55,0.5614834025393044
0.6000000000000001,0.6000000000000001,0.5715887253203957
0.6000000000000001,0.65,0.5806624405504752
0.6000000000000001,0.7000000000000001,0.5888589144631645
0.6000000000000001,0.75,0.5958604323505414
0.6000000000000001,0.8,0.6026402993475218
0.6000000000000001,0.8500000000000001,0.6087980828671752
0.6000000000000001,0.9,0.6145033059842984
0.6000000000000001,0.9500000000000001,0.6197642418262781
0.6000000000000001,1.0,0.6246330963001554
0.65,0.0,0.26019643275112314
0.65,0.05,0.3333895850700124
0.65,0.1,0.3887049995058109
0.65,0.15000000000000002,0.43162065547241335
0.65,0.2,0.4656985926172609
0.65,0.25,0.4933237820138361
0.65,0.30000000000000004,0.5161273326070362
0.65,0.35000000000000003,0.5352490463788343
0.65,0.4,0.5515039715586686
0.65,0.45,0.5654867139490486
0.65,0.5,0.5776395380697213
0.65,0.55,0.5882982774557383
0.65,0.6000000000000001,0.5977220451334598
0.65,0.65,0.606113226007522
0.65,0.7000000000000001,0.6136327005435243
0.65,0.75,0.6204090272326354
0.65,0.8,0.626548547908181
0.65,0.8500000000000001,0.6321366344912993
0.65,0.9,0.6372445998366061
0.65,0.9500000000000001,0.6419319292604144
0.65,1.0,0.6462485877781349
0.7000000000000001,0.0,0.27807198683706214
0.7000000000000001,0.05,0.3559658075548705
0.7000000000000001,0.1,0.41388879840457926
0.7000000000000001,0.15000000000000002,0.4580438290509539
0.7000000000000001,0.2,0.4924822627604343
0.7000000000000001,0.25,0.5199178368036919
0.7000000000000001,0.30000000000000004,0.5422021513698094
0.7000000000000001,0.35000000000000003,0.5606133324391143
0.7000000000000001,0.4,0.5760585587373412
0.7000000000000001,0.45,0.5891890366684771
0.7000000000000001,0.5,0.6004832162773057
0.7000000000000001,0.55,0.6102989272521573
0.7000000000000001,0.6000000000000001,0.6189077808628968
0.7000000000000001,0.65,0.6265191970517814
0.7000000000000001,0.7000000000000001,0.6332972836786983
0.7000000000000001,0.75,0.639372163812971
0.7000000000000001,0.8,0.6448483049505362
0.7000000000000001,0.8500000000000001,0.6498105018448525
0.7000000000000001,0.9,0.6543282840882402
0.7000000000000001,0.9500000000000001,0.6584588927254984
0.7000000000000001,1.0,0.6622509696274897
0.75,0.0,0.3186594659085964
0.75,0.05,0.3945476847350471
0.75,0.1,0.4508197990739561
0.75,0.15000000000000002,0.49345213080513106
0.75,0.2,0.5263885414169154
0.75,0.25,0.5523340473383584
0.75,0.30000000000000004,0.5731494086862089
0.75,0.35000000000000003,0.5901341593459204
0.75,0.4,0.604212899632014
0.75,0.45,0.6160472176710455
0.75,0.5,0.62612115956324
0.75,0.55,0.6347939718550705
0.75,0.6000000000000001,0.6423359935412478
0.75,0.65,0.6489538845174804
0.75,0.7000000000000001,0.6548075559077637
0.75,0.75,0.6600226043374224
0.75,0.8,0.6646987401746476
0.75,0.8500000000000001,0.6689161079333384
0.75,0.9,0.6727397999766163
0.75,0.9500000000000001,0.6762231847523807
0.75,1.0,0.6794104161888753
0.8,0.0,0.38726265594821835
0.8,0.05,0.4506642629937603
0.8,0.1,0.4984688179272226
0.8,0.15000000000000002,0.5350608569368738
0.8,0.2,0.5634985146668889
0.8,0.25,0.585950914694976
0.8,0.30000000000000004,0.6039494383481925
0.8,0.35000000000000003,0.6185949811070778
0.8,0.4,0.6306817422506754
0.8,0.45,0.6407902476910315
0.8,0.5,0.6493484936225109
0.8,0.55,0.6566775424731542
0.8,0.6000000000000001,0.6630180825124173
0.8,0.65,0.668554525028765
0.8,0.7000000000000001,0.6734293823785868
0.8,0.75,0.6777540702362149
0.8,0.8,0.6816166823604792
0.8,0.8500000000000001,0.6850876347934273
0.8,0.9,0.688223799390287
0.8,0.9500000000000001,0.6910715611236659
0.8,1.0,0.6936691192081316
0.8500000000000001,0.0,0.48987573220147446
0.8500000000000001,0.05,0.5313653818893439
0.8500000000000001,0.1,0.5639224352753475
0.8500000000000001,0.15000000000000002,0.5897131296005103
0.8500000000000001,0.2,0.6103339855947694
0.8500000000000001,0.25,0.6269841449615082
0.8500000000000001,0.30000000000000004,0.6405638315071454
0.8500000000000001,0.35000000000000003,0.6517519052167049
0.8500000000000001,0.4,0.6610628117494473
0.8500000000000001,0.45,0.6688884813176217
0.8500000000000001,0.5,0.6755292208690185
0.8500000000000001,0.55,0.6812165458853889
0.8500000000000001,0.6000000000000001,0.6861301001311422
0.8500000000000001,0.65,0.6904102313471752
0.8500000000000001,0.7000000000000001,0.6941673686185895
0.8500000000000001,0.75,0.6974890396993368
0.8500000000000001,0.8,0.7004451425523117
0.8500000000000001,0.8500000000000001,0.7030919219695992
0.8500000000000001,0.9,0.7054749828327113
0.8500000000000001,0.9500000000000001,0.7076315619822222
0.8500000000000001,1.0,0.7095923813702611
0.9,0.0,0.6038965644587246
0.9,0.05,0.6222362548827021
0.9,0.1,0.6375312503215311
0.9,0.15000000000000002,0.6503383937371628
0.9,0.2,0.6611081010054655
0.9,0.25,0.6702051584348011
0.9,0.30000000000000004,0.677925410218196
0.9,0.35000000000000003,0.6845091520977333
0.9,0.4,0.6901518852709282
0.9,0.45,0.6950129544895629
0.9,0.5,0.6992224900494941
0.9,0.55,0.7028869898419992
0.9,0.6000000000000001,0.7060938107301225
0.9,0.65,0.7089147849304954
0.9,0.7000000000000001,0.7114091341752425
0.9,0.75,0.713625820075815
0.9,0.8,0.7156054416074527
0.9,0.8500000000000001,0.7173817686139821
0.9,0.9,0.7189829826037244
0.9,0.9500000000000001,0.7204326819921101
0.9,1.0,0.7217506976435357
0.9500000000000001,0.0,0.7050185249999998
0.9500000000000001,0.05,0.7085498447555828
0.9500000000000001,0.1,0.7117238792010245
0.9500000000000001,0.15000000000000002,0.7145802084801464
0.9500000000000001,0.2,0.7171537712108474
0.9500000000000001,0.25,0.7194754388320306
0.9500000000000001,0.30000000000000004,0.7215725148348071
0.9500000000000001,0.35000000000000003,0.7234691692138681
0.9500000000000001,0.4,0.725186817000971
0.9500000000000001,0.45,0.7267444484814386
0.9500000000000001,0.5,0.7281589176160493
0.9500000000000001,0.55,0.7294451942685309
0.9500000000000001,0.6000000000000001,0.7306165850504667
0.9500000000000001,0.65,0.7316849269214252
0.9500000000000001,0.7000000000000001,0.7326607571058206
0.9500000000000001,0.75,0.7335534623951543
0.9500000000000001,0.8,0.7343714104826017
0.9500000000000001,0.8500000000000001,0.735122065615947
0.9500000000000001,0.9,0.7358120905456704
0.9500000000000001,0.9500000000000001,0.7364474364799263
0.9500000000000001,1.0,0.737033422530709
1.0,0.0,0.7499999999999999
1.0,0.05,0.7499999999999999
1.0,0.1,0.7499999999999999
1.0,0.15000000000000002,0.7499999999999999
1.0,0.2,0.7499999999999999
1.0,0.25,0.7499999999999999
1.0,0.30000000000000004,0.7499999999999999
1.0,0.35000000000000003,0.7499999999999999
1.0,0.4,0.7499999999999999
1.0,0.45,0.7499999999999999
1.0,0.5,0.7499999999999999
1.0,0.55,0.7499999999999999
1.0,0.6000000000000001,0.7499999999999999
1.0,0.65,0.7499999999999999
1.0,0.7000000000000001,0.7499999999999999
1.0,0.75,0.7499999999999999
1.0,0.8,0.7499999999999999
1.0,0.8500000000000001,0.7499999999999999
1.0,0.9,0.7499999999999999
1.0,0.9500000000000001,0.7499999999999999
1.0,1.0,0.7499999999999999
