alpha,step,delta_v
0.1,125,0.5790448500148454
0.1,126,0.579244150239364
0.1,127,0.5791967045591111
0.1,128,0.5793200201938802
0.1,129,0.5794000565369881
0.1,130,0.5794657725958818
0.1,131,0.5796122699028287
0.1,132,0.5797083218294705
0.1,133,0.579895539435546
0.1,134,0.5800470578511439
0.1,135,0.5800279939086974
0.1,136,0.5801410914402237
0.1,137,0.5801400524591562
0.1,138,0.5802610128949889
0.1,139,0.5804187863075466
0.1,140,0.5802007922348299
0.1,141,0.580161258572013
0.1,142,0.5803469216723859
0.1,143,0.5805016306102502
0.1,144,0.5805918383530753
0.1,145,0.5808114528809425
0.1,146,0.580959998587833
0.1,147,0.580820393142385
0.1,148,0.5811295616902601
0.1,149,0.5811508262008683
0.1,150,0.5810590177434227
0.1,151,0.5812035715635181
0.1,152,0.5813184097146543
0.1,153,0.5814242769709417
0.1,154,0.5813236848422012
0.1,155,0.5815526895614194
0.1,156,0.5814160719703042
0.1,157,0.5815075437346462
0.1,158,0.5816276185685061
0.1,159,0.5818374267857174
0.1,160,0.5816524304084868
0.1,161,0.5817817564873922
0.1,162,0.5818372533435138
0.1,163,0.5818985817424219
0.1,164,0.5820049169220478
0.1,165,0.5820494614394325
0.1,166,0.5821308716908224
0.1,167,0.5821933082241577
0.1,168,0.5821271471456643
0.1,169,0.5819239204302332
0.1,170,0.5817130642483744
0.1,171,0.5816182656070136
0.1,172,0.5818640719449871
0.1,173,0.5820020069773496
0.1,174,0.5820864078917922
0.1,175,0.581995741777361
0.1,176,0.5817787287531047
0.1,177,0.5817148362560984
0.1,178,0.5817832003979027
0.1,179,0.5819304541079562
0.1,180,0.5819148807995362
0.1,181,0.582047208237491
0.1,182,0.5820715794102409
0.1,183,0.5824155266940159
0.1,184,0.5824717561565901
0.1,185,0.5827273410798884
0.1,186,0.5828775164220209
0.1,187,0.5829177632145255
0.1,188,0.582995480374829
0.1,189,0.5832051836858712
0.1,190,0.5835949936247068
0.1,191,0.583456295709007
0.1,192,0.5836408533227021
0.1,193,0.5837221171856362
