sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
0,0.7517366101967916,0.9595286558218259,0.20779204562503423,0.018331254073990257,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
1,0.3512742318845591,0.768788647279803,0.417514415395244,2.6759887550302865,0.2417662932527851,0.3185339287822264,0.9820396225891881,0.5,0.4410061220535114,0.6098708094225075
2,0.30609536403853993,0.7905578476261512,0.4844624835876113,0.2850221131662881,0.8636212965699608,0.8637576707745845,0.8374406566748476,0.5,0.7357576983159544,0.22275365813138726
3,-0.057000919233338956,0.3909294788064252,0.4479303980397642,4.260913803367996,0.17206618466113854,0.8704149724889354,0.5300693289007575,0.5,0.6712380191408013,0.6110179811110102
4,-0.09582769822781856,0.02507918842396094,0.12090688665177951,8.681084160937102,0.06013731275422918,0.9777692736076393,0.719475813373391,0.5,0.0031322874578293414,0.25126710549130427
5,0.5481490174801344,0.7786671256056658,0.23051810812553133,0.1431686696575605,0.8584904374223306,0.42529835119631765,0.8679094970198336,0.5,0.15347417112811557,0.9922592294876191
6,-0.018908506309213566,0.45962888016397024,0.4785373864731838,4.702692394756198,0.18233178284895335,0.9401129022827245,0.5434415276365931,0.5,0.8289891999288848,0.2810522629658764
7,0.31881080891500824,0.8115035169670314,0.49269270805202325,0.3130340630560872,0.8690915111825115,0.9764165742940587,0.9208568287232834,0.5,0.37050842977068854,0.48266943701385
8,0.12407027692439132,0.6057840895717739,0.4817138126473825,19.178767271934404,0.09218154684827984,0.22668310505425948,0.7682831183756561,0.5,0.4489107889121219,0.30550076965751194
9,0.30937781684319143,0.6913869595721972,0.38200914272900577,0.08037039048691595,0.9473596032886419,0.7510338363593166,0.7360242299361179,0.5,0.7463378032369892,0.8553998778375781
10,0.017550691391611705,0.4034580628300075,0.3859073714383958,2.5159731841081014,0.2935015581362097,0.7333144993171773,0.9044153512811456,0.5,0.024833211267027866,0.5125494476917045
11,0.22874917422204763,0.7251865478772962,0.4964373736552486,0.40622935436821334,0.6127856803773065,0.2803489516290337,0.7260658632870314,0.5,0.9886345634286613,0.0059781688730145
12,0.14834022874425853,0.619218358532047,0.4708781297877884,4.2752980548278465,0.20128828557628275,0.25687579634137636,0.6703724195281737,0.5,0.32649449538067055,0.19835820718308184
13,0.06070561814907781,0.5272792240813916,0.46657360593231384,0.2537699972984713,0.8292149093742202,0.6371216286308995,0.5427203678313687,0.5,0.6811760056464958,0.13441008942863109
14,0.7591125124809476,0.8960777063313919,0.13696519385044442,0.014140109876230638,0.9565136908680434,0.13652397740514988,0.8988510694871551,0.5,0.30470772739383534,0.2342060522066809
15,0.2672035879470253,0.5026733265017888,0.2354697385547635,0.09776599928548561,0.8930081662176329,0.37753650395330374,0.5381727258105702,0.5,0.4616133222332174,0.8738239607364897
16,0.12619837763924352,0.5739878496198947,0.4477894719806511,2.7050121261870044,0.3506094910196108,0.8235205516449388,0.973599537183576,0.5,0.29784009061862315,0.619161016367253
17,0.2769953985777005,0.7118978245929659,0.4349024260152654,1.4301873188234682,0.3017574296201845,0.17484645112507746,0.7477525976088235,0.5,0.6872615770719864,0.2481547794756681
18,0.25880469704498066,0.5201439177129172,0.26133922066793663,0.4761272735889593,0.6220465943861858,0.3156556907796485,0.6386082086041869,0.5,0.27959526911855404,0.9488350155396007
