parameter,varied,spearman_rho,abs_spearman_rho,prcc,abs_prcc
theta_post,True,0.6815751743006973,0.6815751743006973,0.8438686591353032,0.8438686591353032
p_high,True,0.5086136824547298,0.5086136824547298,0.7626427314139252,0.7626427314139252
epsilon,True,-0.32563445453781814,0.32563445453781814,-0.5932737388248335,0.5932737388248335
learning_rate,True,0.0650686762747051,0.0650686762747051,0.14137616754746038,0.14137616754746038
extinction_rate,True,-0.028060432241728966,0.028060432241728966,-0.12159133211078572,0.12159133211078572
p_low,False,,,,
