sample_id,rep,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
0,0,0.7357559153181282,0.9601286041079409,0.22437268878981265,0.02018422625935733,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,1,0.741348521646039,0.9599981743327756,0.21864965268673653,0.020006042388716835,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,2,0.7563399413278431,0.9590643023903435,0.20272436106250033,0.01768201535769034,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,3,0.7651806797760884,0.9603583784955508,0.19517769871946242,0.016721355817356127,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,4,0.764719845287638,0.9591909652629308,0.19447111997529273,0.0170720396642043,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,5,0.7656718621645898,0.9605261762055646,0.19485431404097475,0.01683956664432984,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,6,0.7454865774361922,0.9590499693205481,0.21356339188435594,0.01913795609991641,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,7,0.7579863514289368,0.9592351210459981,0.2012487696170613,0.01701607118948798,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,8,0.7547124029203549,0.9599206357038621,0.20520823278350725,0.017548978420723477,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,9,0.7507144618654855,0.9581994438677812,0.20748498200229565,0.018523447738818644,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,10,0.7420157962666177,0.9586777906333198,0.21666199436670208,0.019464703620970577,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
0,11,0.7514151929856353,0.9601457785115604,0.20873058552592505,0.01862465176307127,0.9766997666981422,0.3801957350196178,0.9616231168819778,0.5,0.31909705841419755,0.11809123296664281
